Date,DC_PL_pair,LE_QS_pair,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,LE_QS_pair_DC_PL_pair_pair,sharpe,CAGR
1991-01-04,1.0,1.0400495222957091,-0.2295780265835458,0.7612274831221916,,False,False,0.0,False,False,0.0,0.0,,,,,1.0691484615976543,0.017
1991-01-05,1.0,1.0277899938250867,-0.3065099062783844,0.6849721853188113,,False,False,0.0,False,False,0.0,0.0,-0.05798759307754061,-0.0,1.0,1.0,1.0691484615976543,0.017
1991-01-06,1.0,1.0336562451406412,-0.3463723878257611,0.6419700181796258,,False,False,0.0,False,False,0.0,0.0,-0.03166510880823348,-0.0,1.0,1.0,1.0691484615976543,0.017
1991-01-07,1.0,1.03902656667481,-0.3711382253827161,0.6143775239188147,,False,False,0.0,False,False,0.0,0.0,-0.01991342861213406,-0.0,1.0,1.0,1.0691484615976543,0.017
1991-01-08,1.0,1.0787948067112174,-0.3879383331173815,0.5814941409087626,,False,False,0.0,False,False,0.0,0.0,-0.023181704043942954,-0.0,1.0,1.0,1.0691484615976543,0.017
1991-01-09,1.0,1.0787948067112174,-0.40015023715000014,0.5683200022583178,,False,False,0.0,False,False,0.0,0.0,-0.009201873792485448,-0.0,1.0,1.0,1.0691484615976543,0.017
1991-01-10,1.0,1.0787948067112174,-0.4094770877228347,0.5582582442973723,,False,False,0.0,False,False,0.0,0.0,-0.006978890582274901,-0.0,1.0,1.0,1.0691484615976543,0.017
1991-01-11,1.0,1.0787948067112174,-0.41686909448335113,0.550283785792953,,False,False,0.0,False,False,0.0,0.0,-0.005500703121252628,-0.0,1.0,1.0,1.0691484615976543,0.017
1991-01-12,1.0,1.0787948067112174,-0.42289808689968283,0.543779740084513,,False,False,0.0,False,False,0.0,0.0,-0.0044663886964582235,-0.0,1.0,1.0,1.0691484615976543,0.017
1991-01-13,1.0,1.0787948067112174,-0.42792894378124424,0.5383524778073772,,False,False,0.0,False,False,0.0,0.0,-0.0037131129049460584,-0.0,1.0,1.0,1.0691484615976543,0.017
1991-01-14,1.0,1.0787948067112174,-0.43220558636244794,0.5337388580006146,,False,False,0.0,False,False,0.0,0.0,-0.0031465198623973987,-0.0,1.0,1.0,1.0691484615976543,0.017
1991-01-15,1.0,1.0787948067112174,-0.4358973660227917,0.5297561852755136,,False,False,0.0,False,False,0.0,0.0,-0.0027088518823983796,-0.0,1.0,1.0,1.0691484615976543,0.017
1991-01-16,1.0,1.0787948067112174,-0.4391256063450269,0.5262735763810706,,False,False,0.0,False,False,0.0,0.0,-0.0023631312017131085,-0.0,1.0,1.0,1.0691484615976543,0.017
1991-01-17,1.0,1.0787948067112174,-0.4419795479699383,0.5231947589774592,,False,False,0.0,False,False,0.0,0.0,-0.002084782284141756,-0.0,1.0,1.0,1.0691484615976543,0.017
1991-01-18,1.0,1.0787948067112174,-0.4445263274055072,0.5204473065485286,,False,False,0.0,False,False,0.0,0.0,-0.0018569480094158689,-0.0,1.0,1.0,1.0691484615976543,0.017
1991-01-19,1.0,1.0787948067112174,-0.4468174436018529,0.5179756622943388,,False,False,0.0,False,False,0.0,0.0,-0.0016677487618159874,-0.0,1.0,1.0,1.0691484615976543,0.017
1991-01-20,1.0,1.0787948067112174,-0.4488930762785878,0.515736480542037,,False,False,0.0,False,False,0.0,0.0,-0.0015086146920322346,-0.0,1.0,1.0,1.0691484615976543,0.017
1991-01-21,1.0,1.0787948067112174,-0.45078504607584224,0.5136954333503045,,False,False,0.0,False,False,0.0,0.0,-0.0013732361707891679,-0.0,1.0,1.0,1.0691484615976543,0.017
1991-01-22,1.0,1.0787948067112174,-0.4525188908344704,0.511824970629053,,False,False,0.0,False,False,0.0,0.0,-0.0012568835549150574,-0.0,1.0,1.0,1.0691484615976543,0.017
1991-01-23,1.0,1.0787948067112174,-0.4541153518180561,0.5101027168108436,,False,False,0.0,False,False,0.0,0.0,-0.0011559547343578077,-0.0,1.0,1.0,1.0691484615976543,0.017
1991-01-24,1.0,1.0787948067112174,-0.45559145699768694,0.5085103022088984,,False,False,0.0,False,False,0.0,0.0,-0.0010676671815458237,-0.0,1.0,1.0,1.0691484615976543,0.017
1991-01-25,1.0,1.0787948067112174,-0.45696132354990676,0.5070324972864763,,False,False,0.0,False,False,0.0,0.0,-0.0009898439984367675,-0.0,1.0,1.0,1.0691484615976543,0.017
1991-01-26,1.0,1.0787948067112174,-0.45823676109001044,0.5056565618919279,,False,False,0.0,False,False,0.0,0.0,-0.00092076249639802,-0.0,1.0,1.0,1.0691484615976543,0.017
1991-01-27,1.0,1.0787948067112174,-0.4594277311439854,0.5043717495827511,,False,False,0.0,False,False,0.0,0.0,-0.0008590452265249257,-0.0,1.0,1.0,1.0691484615976543,0.017
1991-01-28,1.0,1.0787948067112174,-0.4605427013371967,0.5031689255286769,,False,False,0.0,False,False,0.0,0.0,-0.0008035803602614749,-0.0,1.0,1.0,1.0691484615976543,0.017
1991-01-29,1.0,1.0787948067112174,-0.46158892141795554,0.5020402687388773,,False,False,0.0,False,False,0.0,0.0,-0.0007534627041338127,-0.0,1.0,1.0,1.0691484615976543,0.017
1991-01-30,1.0,1.0787948067112174,-0.46257264051810143,0.5009790376823773,,False,False,0.0,False,False,0.0,0.0,-0.0007079494437884731,-0.0,1.0,1.0,1.0691484615976543,0.017
1991-01-31,1.0,1.0787948067112174,-0.4634992797256615,0.4999793841175665,,False,False,0.0,False,False,0.0,0.0,-0.0006664265505595876,-0.0,1.0,1.0,1.0691484615976543,0.017
1991-02-01,1.0,1.0787948067112174,-0.46437357031134635,0.49903620397417314,,False,False,0.0,False,False,0.0,0.0,-0.0006283830068990629,-0.0,1.0,1.0,1.0691484615976543,0.017
1991-02-02,1.0,1.0787948067112174,-0.4651996652978448,0.4981450169928885,,False,False,0.0,False,False,0.0,0.0,-0.0005933908342470326,-0.0,1.0,1.0,1.0691484615976543,0.017
