Date,CL_CC_pair,DC_HO_pair,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,DC_HO_pair_CL_CC_pair_pair,sharpe,CAGR
1991-01-04,1.1609393478599626,1.0,-0.26790908027537597,0.8930302675845866,,False,False,0.0,False,False,0.0,0.0,,,,,1.0837467386884374,0.0109
1991-01-05,1.1609393478599626,1.0,-0.35904882050396314,0.8018905273559994,,False,False,0.0,False,False,0.0,0.0,-0.059960822146851014,-0.0,1.0,1.0,1.0837467386884374,0.0109
1991-01-06,1.1609393478599626,1.0,-0.406455365495315,0.7544839823646475,,False,False,0.0,False,False,0.0,0.0,-0.030245441424177084,-0.0,1.0,1.0,1.0837467386884374,0.0109
1991-01-07,1.1609393478599626,1.0,-0.4360302332846742,0.7249091145752884,,False,False,0.0,False,False,0.0,0.0,-0.01851936827009641,-0.0,1.0,1.0,1.0837467386884374,0.0109
1991-01-08,1.1609393478599626,1.0,-0.4564831759398309,0.7044561719201317,,False,False,0.0,False,False,0.0,0.0,-0.012645392502082175,-0.0,1.0,1.0,1.0837467386884374,0.0109
1991-01-09,1.1609393478599626,1.0,-0.47160437592402277,0.6893349719359398,,False,False,0.0,False,False,0.0,0.0,-0.009262355282677022,-0.0,1.0,1.0,1.0837467386884374,0.0109
1991-01-10,1.1609393478599626,1.0,-0.48332063718483237,0.6776187106751301,,False,False,0.0,False,False,0.0,0.0,-0.0071255527516170284,-0.0,1.0,1.0,1.0837467386884374,0.0109
1991-01-11,1.1609393478599626,1.0,-0.49272014596470426,0.6682192018952583,,False,False,0.0,False,False,0.0,0.0,-0.0056840654409041486,-0.0,1.0,1.0,1.0837467386884374,0.0109
1991-01-12,1.1609393478599626,1.0,-0.5004661939720659,0.6604731538878966,,False,False,0.0,False,False,0.0,0.0,-0.004662346316011515,-0.0,1.0,1.0,1.0837467386884374,0.0109
1991-01-13,1.1609393478599626,1.0,-0.506987229801347,0.6539521180586155,,False,False,0.0,False,False,0.0,0.0,-0.0039096659988622495,-0.0,1.0,1.0,1.0837467386884374,0.0109
1991-01-14,1.1609393478599626,1.0,-0.512572934061126,0.6483664137988365,,False,False,0.0,False,False,0.0,0.0,-0.0033377133350745163,-0.0,1.0,1.0,1.0837467386884374,0.0109
1991-01-15,1.1609393478599626,1.0,-0.517426525202368,0.6435128226575946,,False,False,0.0,False,False,0.0,0.0,-0.0028918552379679505,-0.0,1.0,1.0,1.0837467386884374,0.0109
1991-01-16,1.1715327858548013,1.0,-0.5217483159203008,0.6497844699345005,,False,False,0.0,False,False,0.0,0.0,0.0037038429533827427,0.0,1.0,1.0,1.0837467386884374,0.0109
