Date,NG_CT_pair,DC_KC_pair,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,DC_KC_pair_NG_CT_pair_pair,sharpe,CAGR
1991-01-04,1.0,1.0,-0.23076923076923078,0.7692307692307692,,False,False,0.0,False,False,0.0,0.0,,,,,1.377742354472066,0.0213
1991-01-05,1.0,1.0,-0.30927440022239056,0.6907255997776094,,False,False,0.0,False,False,0.0,0.0,-0.059960822146850994,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-01-06,1.0,1.0,-0.35010904423608474,0.6498909557639152,,False,False,0.0,False,False,0.0,0.0,-0.030245441424177066,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-01-07,1.0,1.0,-0.37558399074718074,0.6244160092528193,,False,False,0.0,False,False,0.0,0.0,-0.018519368270096415,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-01-08,1.0,1.0,-0.393201571452718,0.606798428547282,,False,False,0.0,False,False,0.0,0.0,-0.012645392502082105,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-01-09,1.0,1.0,-0.4062265412860394,0.5937734587139606,,False,False,0.0,False,False,0.0,0.0,-0.00926235528267708,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-01-10,1.0,1.0,-0.41631859414169203,0.583681405858308,,False,False,0.0,False,False,0.0,0.0,-0.007125552751616977,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-01-11,1.0,1.0,-0.42441506257236294,0.5755849374276371,,False,False,0.0,False,False,0.0,0.0,-0.005684065440904164,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-01-12,1.0,1.0,-0.43108728711332667,0.5689127128866733,,False,False,0.0,False,False,0.0,0.0,-0.004662346316011509,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-01-13,1.0,1.0,-0.43670432114813795,0.563295678851862,,False,False,0.0,False,False,0.0,0.0,-0.003909665998862208,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-01-14,1.0,1.0,-0.4415156872802925,0.5584843127197074,,False,False,0.0,False,False,0.0,0.0,-0.003337713335074562,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-01-15,1.0,1.0,-0.4456964320799144,0.5543035679200856,,False,False,0.0,False,False,0.0,0.0,-0.0028918552379679154,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-01-16,1.0,1.0,-0.4493731526378599,0.5506268473621401,,False,False,0.0,False,False,0.0,0.0,-0.0025367660158834263,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-01-17,1.0,1.0,-0.4526397788009259,0.5473602211990741,,False,False,0.0,False,False,0.0,0.0,-0.0022487516938042027,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-01-18,1.0,1.0,-0.4555675390029896,0.5444324609970104,,False,False,0.0,False,False,0.0,0.0,-0.002011421746921592,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-01-19,1.0,1.0,-0.45821147319003114,0.5417885268099689,,False,False,0.0,False,False,0.0,0.0,-0.0018131349503494822,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-01-20,1.0,1.0,-0.4606148166429023,0.5393851833570977,,False,False,0.0,False,False,0.0,0.0,-0.0016454327489262815,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-01-21,1.0,1.0,-0.4628120273029513,0.5371879726970488,,False,False,0.0,False,False,0.0,0.0,-0.0015020457988030463,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-01-22,1.0,1.0,-0.4648309238432705,0.5351690761567295,,False,False,0.0,False,False,0.0,0.0,-0.001378245439427447,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-01-23,1.0,1.0,-0.46669422597999477,0.5333057740200052,,False,False,0.0,False,False,0.0,0.0,-0.0012704094034864423,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-01-24,1.0,1.0,-0.46842068392993136,0.5315793160700686,,False,False,0.0,False,False,0.0,0.0,-0.0011757243471374483,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-01-25,1.0,1.0,-0.4700259198143708,0.5299740801856292,,False,False,0.0,False,False,0.0,0.0,-0.0010919779459685284,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-01-26,1.0,1.0,-0.47152306346823014,0.5284769365317699,,False,False,0.0,False,False,0.0,0.0,-0.001017410933628671,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-01-27,1.0,1.0,-0.4729232391226201,0.5270767608773799,,False,False,0.0,False,False,0.0,0.0,-0.0009506100638510098,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-01-28,1.0,1.0,-0.47423594232339683,0.5257640576766032,,False,False,0.0,False,False,0.0,0.0,-0.0008904295188379943,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-01-29,1.0,1.0,-0.4754693349715516,0.5245306650284485,,False,False,0.0,False,False,0.0,0.0,-0.000835932417516815,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-01-30,1.0,1.0,-0.47663047853483936,0.5233695214651606,,False,False,0.0,False,False,0.0,0.0,-0.0007863467402081638,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-01-31,1.0,1.0,-0.47772552004262486,0.5222744799573751,,False,False,0.0,False,False,0.0,0.0,-0.0007410317362279246,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-02-01,1.0,1.0,-0.47875984164705093,0.5212401583529491,,False,False,0.0,False,False,0.0,0.0,-0.0006994520511687181,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-02-02,1.0,1.0,-0.4797381818005633,0.5202618181994367,,False,False,0.0,False,False,0.0,0.0,-0.0006611576058150607,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-02-03,1.0,1.0,-0.480664734124247,0.5193352658757531,,False,False,0.0,False,False,0.0,0.0,-0.0006257678070732727,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-02-04,1.0,1.0,-0.4815432285966305,0.5184567714033694,,False,False,0.0,False,False,0.0,0.0,-0.0005929590547390104,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-02-05,1.0,1.0,-0.48237699862444067,0.5176230013755594,,False,False,0.0,False,False,0.0,0.0,-0.0005624547794412174,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-02-06,1.0,1.0,-0.4831690367589997,0.5168309632410003,,False,False,0.0,False,False,0.0,0.0,-0.0005340174416598068,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-02-07,1.0,1.0,-0.4839220412204174,0.5160779587795826,,False,False,0.0,False,False,0.0,0.0,-0.0005074420626560626,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-02-08,1.0,1.0,-0.4846384549340913,0.5153615450659087,,False,False,0.0,False,False,0.0,0.0,-0.00048255096134211946,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-02-09,1.0,1.0,-0.48532049843292835,0.5146795015670717,,False,False,0.0,False,False,0.0,0.0,-0.00045918944736616173,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-02-10,1.0,1.0,-0.4859701977071877,0.5140298022928123,,False,False,0.0,False,False,0.0,0.0,-0.00043722227758124973,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-02-11,1.0,1.0,-0.48658940787230137,0.5134105921276986,,False,False,0.0,False,False,0.0,0.0,-0.00041653072585787725,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-02-12,1.0,1.0,-0.48717983335903037,0.5128201666409696,,False,False,0.0,False,False,0.0,0.0,-0.0003970101486619619,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-02-13,1.0,1.0,-0.4877430451991762,0.5122569548008238,,False,False,0.0,False,False,0.0,0.0,-0.0003785679536283418,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-02-14,1.0,1.0,-0.48828049587580746,0.5117195041241925,,False,False,0.0,False,False,0.0,0.0,-0.0003611218974652843,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-02-15,1.0,1.0,-0.48879353212355964,0.5112064678764403,,False,False,0.0,False,False,0.0,0.0,-0.0003445986543348654,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-02-16,1.0,1.0,-0.4892834059974721,0.5107165940025279,,False,False,0.0,False,False,0.0,0.0,-0.00032893260741350663,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-02-17,1.0,1.0,-0.4897512844745472,0.5102487155254528,,False,False,0.0,False,False,0.0,0.0,-0.0003140648254182275,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-02-18,1.0,1.0,-0.4901982578080818,0.5098017421919182,,False,False,0.0,False,False,0.0,0.0,-0.00029994219305561043,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-02-19,1.0,1.0,-0.49062534681875547,0.5093746531812445,,False,False,0.0,False,False,0.0,0.0,-0.000286516670057406,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-02-20,1.0,1.0,-0.49103350927684786,0.5089664907231521,,False,False,0.0,False,False,0.0,0.0,-0.00027374465801935333,-0.0,1.0,1.0,1.377742354472066,0.0213
1991-02-21,1.0,1.0,-0.49142364550554196,0.508576354494458,,False,False,0.0,False,False,0.0,0.0,-0.0002615864579254821,-0.0,1.0,1.0,1.377742354472066,0.0213
