Date,NG_CT_pair,LE_HO_pair,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,LE_HO_pair_NG_CT_pair_pair,sharpe,CAGR
1991-01-04,1.0,0.9784215170988224,-0.23140569775409353,0.7735876861381282,,False,False,0.0,False,False,0.0,0.0,,,,,1.2687283139367056,0.0169
1991-01-05,1.0,0.9686901231155088,-0.3111099270936465,0.6986308864211985,,False,False,0.0,False,False,0.0,0.0,-0.057598416110242856,-0.0,1.0,1.0,1.2687283139367056,0.0169
1991-01-06,1.0,0.9747404690934358,-0.3527653583157088,0.656145329155432,,False,False,0.0,False,False,0.0,0.0,-0.0316146962819021,-0.0,1.0,1.0,1.2687283139367056,0.0169
1991-01-07,1.0,0.9802727545455592,-0.3787516361310392,0.6287200903611889,,False,False,0.0,False,False,0.0,0.0,-0.01999973791015925,-0.0,1.0,1.0,1.2687283139367056,0.0169
1991-01-08,1.0,1.0359110338363011,-0.3963114018423176,0.589456645996411,,False,False,0.0,False,False,0.0,0.0,-0.027835687753471214,-0.0,1.0,1.0,1.2687283139367056,0.0169
1991-01-09,1.0,1.0359110338363011,-0.40901781809920873,0.5762939291953806,,False,False,0.0,False,False,0.0,0.0,-0.00924538924919482,-0.0,1.0,1.0,1.2687283139367056,0.0169
1991-01-10,1.0,1.0359110338363011,-0.4186792276081828,0.5662855684826233,,False,False,0.0,False,False,0.0,0.0,-0.0069807211901779164,-0.0,1.0,1.0,1.2687283139367056,0.0169
1991-01-11,1.0,1.0359110338363011,-0.4263044345051377,0.558386532522783,,False,False,0.0,False,False,0.0,0.0,-0.005479302280425701,-0.0,1.0,1.0,1.2687283139367056,0.0169
1991-01-12,1.0,1.0359110338363011,-0.4324995677319155,0.5519689256570781,,False,False,0.0,False,False,0.0,0.0,-0.004431953829870023,-0.0,1.0,1.0,1.2687283139367056,0.0169
1991-01-13,1.0,1.0359110338363011,-0.4376505525953448,0.5466329636019278,,False,False,0.0,False,False,0.0,0.0,-0.0036714483826292034,-0.0,1.0,1.0,1.2687283139367056,0.0169
1991-01-14,1.0,1.0359110338363011,-0.44201477285166063,0.5421120196843184,,False,False,0.0,False,False,0.0,0.0,-0.0031010228348480116,-0.0,1.0,1.0,1.2687283139367056,0.0169
1991-01-15,1.0,1.0359110338363011,-0.4457705076046412,0.5382214126135434,,False,False,0.0,False,False,0.0,0.0,-0.002661557026725325,-0.0,1.0,1.0,1.2687283139367056,0.0169
1991-01-16,1.0,1.0684371068491787,-0.4489774762914372,0.5202958041907311,,False,False,0.0,False,False,0.0,0.0,-0.012114318843982584,-0.0,1.0,1.0,1.2687283139367056,0.0169
1991-01-17,1.0,1.0389247781003208,-0.4518066516938944,0.5306068746446718,,False,False,0.0,False,False,0.0,0.0,0.007017230634890396,0.0,1.0,1.0,1.2687283139367056,0.0169
1991-01-18,1.0,1.2485162189116767,-0.45394500883399147,0.4332422939767573,,False,False,0.0,False,False,0.0,0.0,-0.06214399348004237,-0.0,1.0,1.0,1.2687283139367056,0.0169
1991-01-19,1.0,1.2485162189116767,-0.45554235267848286,0.431247984279731,,False,False,0.0,False,False,0.0,0.0,-0.0012712714801584749,-0.0,1.0,1.0,1.2687283139367056,0.0169
1991-01-20,1.0,1.2485162189116767,-0.4567141961801781,0.4297849186618382,,False,False,0.0,False,False,0.0,0.0,-0.0009317612824390471,-0.0,1.0,1.0,1.2687283139367056,0.0169
1991-01-21,1.0,1.2485162189116767,-0.45755002987568477,0.4287413667366853,,False,False,0.0,False,False,0.0,0.0,-0.0006641503206799244,-0.0,1.0,1.0,1.2687283139367056,0.0169
1991-01-22,1.0,1.2485162189116767,-0.4581195727312183,0.42803028324418646,,False,False,0.0,False,False,0.0,0.0,-0.00045235190278750066,-0.0,1.0,1.0,1.2687283139367056,0.0169
1991-01-23,1.0,1.2485162189116767,-0.45847746790414795,0.4275834453161136,,False,False,0.0,False,False,0.0,0.0,-0.00028417274464698374,-0.0,1.0,1.0,1.2687283139367056,0.0169
1991-01-24,1.0,1.2485162189116767,-0.45866680631110596,0.42734705324416355,,False,False,0.0,False,False,0.0,0.0,-0.0001503142015138655,-0.0,1.0,1.0,1.2687283139367056,0.0169
1991-01-25,1.0,1.2485162189116767,-0.45872177565684635,0.42727842312446374,,False,False,0.0,False,False,0.0,0.0,-4.363780640446501e-05,-0.0,1.0,1.0,1.2687283139367056,0.0169
