Date,LE_QS_pair,LE_HO_pair,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,LE_HO_pair_LE_QS_pair_pair,sharpe,CAGR
1991-01-04,1.0400495222957091,0.9784215170988224,-0.24067338540565023,0.8045695034218032,,False,False,0.0,False,False,0.0,0.0,,,,,1.007131051794482,0.0082
1991-01-05,1.0277899938250867,0.9686901231155088,-0.3224189628878341,0.7154659289704961,,False,False,0.0,False,False,0.0,0.0,-0.06648954532951827,-0.0,1.0,1.0,1.007131051794482,0.0082
1991-01-06,1.0336562451406412,0.9747404690934358,-0.3652137297700994,0.6776676428651712,,False,False,0.0,False,False,0.0,0.0,-0.027199961325087164,-0.0,1.0,1.0,1.007131051794482,0.0082
1991-01-07,1.03902656667481,0.9802727545455592,-0.392102219131932,0.6546594442629246,,False,False,0.0,False,False,0.0,0.0,-0.016164325287271457,-0.0,1.0,1.0,1.007131051794482,0.0082
1991-01-08,1.0787948067112174,1.0359110338363011,-0.4112143306748305,0.6528133442935511,,False,False,0.0,False,False,0.0,0.0,-0.0012268268760260083,-0.0,1.0,1.0,1.007131051794482,0.0082
1991-01-09,1.0787948067112174,1.0359110338363011,-0.42554539750556364,0.6379676340369493,,False,False,0.0,False,False,0.0,0.0,-0.009769344256658591,-0.0,1.0,1.0,1.007131051794482,0.0082
1991-01-10,1.0787948067112174,1.0359110338363011,-0.43673778145438713,0.6263733200094307,,False,False,0.0,False,False,0.0,0.0,-0.007571963593513954,-0.0,1.0,1.0,1.007131051794482,0.0082
1991-01-11,1.0787948067112174,1.0359110338363011,-0.4457592680423597,0.6170278625113437,,False,False,0.0,False,False,0.0,0.0,-0.006066266082849387,-0.0,1.0,1.0,1.007131051794482,0.0082
1991-01-12,1.0787948067112174,1.0359110338363011,-0.45321532437890816,0.609304051483408,,False,False,0.0,False,False,0.0,0.0,-0.004988621748989606,-0.0,1.0,1.0,1.007131051794482,0.0082
1991-01-13,1.0787948067112174,1.0359110338363011,-0.45950373245282633,0.602789820174371,,False,False,0.0,False,False,0.0,0.0,-0.004189755708307924,-0.0,1.0,1.0,1.007131051794482,0.0082
