Date,NG_CT_pair,LE_SB_pair,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,LE_SB_pair_NG_CT_pair_pair,sharpe,CAGR
1991-01-04,1.0,1.085916935540872,-0.22819962721981463,0.7521941601178895,,False,False,0.0,False,False,0.0,0.0,,,,,1.4956744926273542,0.0207
1991-01-05,1.0,1.0897290241075963,-0.30278204776106943,0.6700496145760302,,False,False,0.0,False,False,0.0,0.0,-0.061765120294824234,-0.0,1.0,1.0,1.4956744926273542,0.0207
1991-01-06,1.0,1.0911150462618404,-0.341012739111743,0.6279158693882136,,False,False,0.0,False,False,0.0,0.0,-0.030707843817878645,-0.0,1.0,1.0,1.4956744926273542,0.0207
1991-01-07,1.0,1.0923687161202953,-0.3646683349534052,0.6016477191372229,,False,False,0.0,False,False,0.0,0.0,-0.018785073411389144,-0.0,1.0,1.0,1.4956744926273542,0.0207
1991-01-08,1.0,1.0923687161202953,-0.3809445637717467,0.5838680759596511,,False,False,0.0,False,False,0.0,0.0,-0.012555075467012263,-0.0,1.0,1.0,1.4956744926273542,0.0207
1991-01-09,1.0,1.0923687161202953,-0.3929376536925712,0.5707671997205248,,False,False,0.0,False,False,0.0,0.0,-0.009166369703077402,-0.0,1.0,1.0,1.4956744926273542,0.0207
1991-01-10,1.0,1.0923687161202953,-0.40220942615566585,0.5606390055388546,,False,False,0.0,False,False,0.0,0.0,-0.007036590695902464,-0.0,1.0,1.0,1.4956744926273542,0.0207
1991-01-11,1.0,1.0923687161202953,-0.40963687748848493,0.5525254900623771,,False,False,0.0,False,False,0.0,0.0,-0.005605290746589507,-0.0,1.0,1.0,1.4956744926273542,0.0207
1991-01-12,1.0,1.0923687161202953,-0.4157521849329898,0.5458453195205424,,False,False,0.0,False,False,0.0,0.0,-0.004593851418634582,-0.0,1.0,1.0,1.4956744926273542,0.0207
1991-01-13,1.0,1.0923687161202953,-0.42089786407416935,0.5402243406035251,,False,False,0.0,False,False,0.0,0.0,-0.003850577231395415,-0.0,1.0,1.0,1.4956744926273542,0.0207
1991-01-14,1.0,1.0923687161202953,-0.42530479687020234,0.535410345083094,,False,False,0.0,False,False,0.0,0.0,-0.0032869244325668618,-0.0,1.0,1.0,1.4956744926273542,0.0207
1991-01-15,1.0,1.0923687161202953,-0.42913453331689394,0.5312268607977425,,False,False,0.0,False,False,0.0,0.0,-0.0028482848533189636,-0.0,1.0,1.0,1.4956744926273542,0.0207
1991-01-16,1.0,1.0923687161202953,-0.4325036424034143,0.5275465514304309,,False,False,0.0,False,False,0.0,0.0,-0.0024994402172013245,-0.0,1.0,1.0,1.4956744926273542,0.0207
1991-01-17,1.0,1.0923687161202953,-0.4354984348847123,0.5242751338125888,,False,False,0.0,False,False,0.0,0.0,-0.0022168208266991774,-0.0,1.0,1.0,1.4956744926273542,0.0207
1991-01-18,1.0,1.0923687161202953,-0.438184236787896,0.5213412478358546,,False,False,0.0,False,False,0.0,0.0,-0.0019841535259168333,-0.0,1.0,1.0,1.4956744926273542,0.0207
1991-01-19,1.0,1.0923687161202953,-0.44061143678500336,0.5186898504912472,,False,False,0.0,False,False,0.0,0.0,-0.0017899002079251813,-0.0,1.0,1.0,1.4956744926273542,0.0207
1991-01-20,1.0,1.0923687161202953,-0.442819549012733,0.5162777777719927,,False,False,0.0,False,False,0.0,0.0,-0.0016256902290190322,-0.0,1.0,1.0,1.4956744926273542,0.0207
1991-01-21,1.0,1.0923687161202953,-0.44484001411927576,0.5140706848975927,,False,False,0.0,False,False,0.0,0.0,-0.0014853283073212066,-0.0,1.0,1.0,1.4956744926273542,0.0207
1991-01-22,1.0,1.0923687161202953,-0.44669817466809497,0.5120408884445337,,False,False,0.0,False,False,0.0,0.0,-0.0013641480046700486,-0.0,1.0,1.0,1.4956744926273542,0.0207
1991-01-23,1.0,1.0923687161202953,-0.44841469643859283,0.5101658137619024,,False,False,0.0,False,False,0.0,0.0,-0.0012585794445796109,-0.0,1.0,1.0,1.4956744926273542,0.0207
1991-01-24,1.0,1.0923687161202953,-0.45000660942263,0.5084268578193545,,False,False,0.0,False,False,0.0,0.0,-0.0011658536168099687,-0.0,1.0,1.0,1.4956744926273542,0.0207
1991-01-25,1.0,1.0923687161202953,-0.45148808252054434,0.506808542953419,,False,False,0.0,False,False,0.0,0.0,-0.0010837959581796346,-0.0,1.0,1.0,1.4956744926273542,0.0207
1991-01-26,1.0,1.0923687161202953,-0.45287100837772726,0.5052978780103186,,False,False,0.0,False,False,0.0,0.0,-0.0010106796002199764,-0.0,1.0,1.0,1.4956744926273542,0.0207
1991-01-27,1.0,1.0923687161202953,-0.4541654506400323,0.5038838697781526,,False,False,0.0,False,False,0.0,0.0,-0.0009451193016389063,-0.0,1.0,1.0,1.4956744926273542,0.0207
1991-01-28,1.0,1.0923687161202953,-0.455379990027169,0.5025571449471485,,False,False,0.0,False,False,0.0,0.0,-0.000885993630092294,-0.0,1.0,1.0,1.4956744926273542,0.0207
1991-01-29,1.0,1.0923687161202953,-0.4565219949836605,0.501309654459023,,False,False,0.0,False,False,0.0,0.0,-0.0008323870850554225,-0.0,1.0,1.0,1.4956744926273542,0.0207
1991-01-30,1.0,1.0914044895883417,-0.4575989054576307,0.5005745001528308,,False,False,0.0,False,False,0.0,0.0,-0.0004902906521645322,-0.0,1.0,1.0,1.4956744926273542,0.0207
1991-01-31,1.0,1.0914513135089658,-0.4586160279632848,0.49944293388320815,,False,False,0.0,False,False,0.0,0.0,-0.0007540974583198943,-0.0,1.0,1.0,1.4956744926273542,0.0207
