Date,SI_CT_pair,CL_CC_pair,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,CL_CC_pair_SI_CT_pair_pair,sharpe,CAGR
1991-01-04,1.0,1.1609393478599626,-0.22591794033450574,0.737722973678193,,False,False,0.0,False,False,0.0,0.0,,,,,1.5118570055522935,0.0163
1991-01-05,1.0,1.1609393478599626,-0.2973934369811626,0.6547442572132562,,False,False,0.0,False,False,0.0,0.0,-0.061682484471720915,-0.0,1.0,1.0,1.5118570055522935,0.0163
1991-01-06,1.0,1.1609393478599626,-0.3337107078735543,0.6125821084273895,,False,False,0.0,False,False,0.0,0.0,-0.030388932593392474,-0.0,1.0,1.0,1.5118570055522935,0.0163
1991-01-07,1.0,1.1609393478599626,-0.3561074849514574,0.5865808086524036,,False,False,0.0,False,False,0.0,0.0,-0.018396028534320003,-0.0,1.0,1.0,1.5118570055522935,0.0163
1991-01-08,1.0,1.1609393478599626,-0.37149407184621847,0.568717914497009,,False,False,0.0,False,False,0.0,0.0,-0.012480344955283254,-0.0,1.0,1.0,1.5118570055522935,0.0163
1991-01-09,1.0,1.1609393478599626,-0.3828239853429341,0.5555645721108222,,False,False,0.0,False,False,0.0,0.0,-0.009106216956619806,-0.0,1.0,1.0,1.5118570055522935,0.0163
1991-01-10,1.0,1.1609393478599626,-0.39158140625502147,0.5453977375882083,,False,False,0.0,False,False,0.0,0.0,-0.006989425759421596,-0.0,1.0,1.0,1.5118570055522935,0.0163
1991-01-11,1.0,1.1609393478599626,-0.3985977023406763,0.5372522433861358,,False,False,0.0,False,False,0.0,0.0,-0.0055686253253456885,-0.0,1.0,1.0,1.5118570055522935,0.0163
1991-01-12,1.0,1.1609393478599626,-0.40437650013422216,0.530543409644282,,False,False,0.0,False,False,0.0,0.0,-0.004565520196979536,-0.0,1.0,1.0,1.5118570055522935,0.0163
1991-01-13,1.0,1.1609393478599626,-0.4092415228182226,0.5248954133821946,,False,False,0.0,False,False,0.0,0.0,-0.0038288785170395704,-0.0,1.0,1.0,1.5118570055522935,0.0163
1991-01-14,1.0,1.1609393478599626,-0.4134107603285074,0.5200551815059313,,False,False,0.0,False,False,0.0,0.0,-0.0032705488851864617,-0.0,1.0,1.0,1.5118570055522935,0.0163
1991-01-15,1.0,1.1609393478599626,-0.4170366091691742,0.5158457909174088,,False,False,0.0,False,False,0.0,0.0,-0.0028362218445780766,-0.0,1.0,1.0,1.5118570055522935,0.0163
1991-01-16,1.0,1.1715327858548013,-0.42020950063418266,0.5077107930793812,,False,False,0.0,False,False,0.0,0.0,-0.005451354737607748,-0.0,1.0,1.0,1.5118570055522935,0.0163
1991-01-17,1.0,1.1370384020014832,-0.4230751809292909,0.5189472723496706,,False,False,0.0,False,False,0.0,0.0,0.0075868191999592105,0.0,1.0,1.0,1.5118570055522935,0.0163
