Date,CL_PL_pair,DC_QS_pair,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,DC_QS_pair_CL_PL_pair_pair,sharpe,CAGR
1991-01-04,1.0468987687288898,1.0,-0.24159202355282072,0.805306745176069,,False,False,0.0,False,False,0.0,0.0,,,,,1.0802071017219927,0.011
1991-01-05,1.0468987687288898,1.0,-0.32377898879218653,0.7231197799367033,,False,False,0.0,False,False,0.0,0.0,-0.05996082214685095,-0.0,1.0,1.0,1.0802071017219927,0.011
1991-01-06,1.0468987687288898,1.0,-0.3665287273316055,0.6803700413972842,,False,False,0.0,False,False,0.0,0.0,-0.030245441424177157,-0.0,1.0,1.0,1.0802071017219927,0.011
1991-01-07,1.0468987687288898,1.0,-0.3931984174675062,0.6537003512613835,,False,False,0.0,False,False,0.0,0.0,-0.01851936827009644,-0.0,1.0,1.0,1.0802071017219927,0.011
1991-01-08,1.0468987687288898,1.0,-0.411642241016115,0.6352565277127747,,False,False,0.0,False,False,0.0,0.0,-0.012645392502082102,-0.0,1.0,1.0,1.0802071017219927,0.011
1991-01-09,1.0468987687288898,1.0,-0.4252780658973501,0.6216207028315397,,False,False,0.0,False,False,0.0,0.0,-0.009262355282676995,-0.0,1.0,1.0,1.0802071017219927,0.011
1991-01-10,1.0468987687288898,1.0,-0.4358434236058797,0.6110553451230101,,False,False,0.0,False,False,0.0,0.0,-0.007125552751616988,-0.0,1.0,1.0,1.0802071017219927,0.011
1991-01-11,1.0468987687288898,1.0,-0.4443196064370014,0.6025791622918883,,False,False,0.0,False,False,0.0,0.0,-0.00568406544090418,-0.0,1.0,1.0,1.0802071017219927,0.011
1991-01-12,1.0468987687288898,1.0,-0.45130475009361903,0.5955940186352707,,False,False,0.0,False,False,0.0,0.0,-0.004662346316011521,-0.0,1.0,1.0,1.0802071017219927,0.011
1991-01-13,1.0468987687288898,1.0,-0.45718521610857127,0.5897135526203185,,False,False,0.0,False,False,0.0,0.0,-0.003909665998862193,-0.0,1.0,1.0,1.0802071017219927,0.011
1991-01-14,1.0468987687288898,1.0,-0.46222222938822777,0.584676539340662,,False,False,0.0,False,False,0.0,0.0,-0.003337713335074574,-0.0,1.0,1.0,1.0802071017219927,0.011
1991-01-15,1.0468987687288898,1.0,-0.4665990459713216,0.5802997227575681,,False,False,0.0,False,False,0.0,0.0,-0.002891855237967953,-0.0,1.0,1.0,1.0802071017219927,0.011
1991-01-16,1.0611887057753178,1.0,-0.4705201543336617,0.5906685514416561,,False,False,0.0,False,False,0.0,0.0,0.006769451397800374,0.0,1.0,1.0,1.0802071017219927,0.011
1991-01-17,1.0374509453916845,1.0,-0.47395058793408873,0.5635003574575957,,False,False,0.0,False,False,0.0,0.0,-0.017975497169357712,-0.0,1.0,1.0,1.0802071017219927,0.011
1991-01-18,1.2304797842922055,1.0,-0.47780588912282956,0.7526738951693759,,False,False,0.0,False,False,0.0,0.0,0.11073881883795418,0.0,1.0,1.0,1.0802071017219927,0.011
1991-01-19,1.1953165122575622,1.0,-0.4817759494719762,0.713540562785586,,False,False,0.0,False,False,0.0,0.0,-0.023334033916909268,-0.0,1.0,1.0,1.0802071017219927,0.011
1991-01-20,1.2040779953603602,1.0,-0.48581571896517156,0.7182622763951887,,False,False,0.0,False,False,0.0,0.0,0.002794089101329809,0.0,1.0,1.0,1.0802071017219927,0.011
1991-01-21,1.213186557019904,1.0,-0.48989638810786984,0.7232901689120342,,False,False,0.0,False,False,0.0,0.0,0.0029522299728439393,0.0,1.0,1.0,1.0802071017219927,0.011
1991-01-22,1.266203088755079,1.0,-0.4941470101282115,0.7720560786268675,,False,False,0.0,False,False,0.0,0.0,0.027702392692095068,0.0,1.0,1.0,1.0802071017219927,0.011
1991-01-23,1.3305197722084825,1.0,-0.4986980146831906,0.831821757525292,,False,False,0.0,False,False,0.0,0.0,0.03267280655519002,0.0,1.0,1.0,1.0802071017219927,0.011
1991-01-24,1.3305197722084825,1.0,-0.5034451800784444,0.8270745921300381,,False,False,0.0,False,False,0.0,0.0,-0.0025884711642576584,-0.0,1.0,1.0,1.0802071017219927,0.011
1991-01-25,1.3305197722084825,1.0,-0.5083098488215552,0.8222099233869273,,False,False,0.0,False,False,0.0,0.0,-0.0026455244615788635,-0.0,1.0,1.0,1.0802071017219927,0.011
1991-01-26,1.3305197722084825,1.0,-0.5132322861621184,0.8172874860463641,,False,False,0.0,False,False,0.0,0.0,-0.0026697935431260478,-0.0,1.0,1.0,1.0802071017219927,0.011
1991-01-27,1.3305197722084825,1.0,-0.5181669234580142,0.8123528487504683,,False,False,0.0,False,False,0.0,0.0,-0.002669266408128052,-0.0,1.0,1.0,1.0802071017219927,0.011
1991-01-28,1.3305197722084825,1.0,-0.52307890627156,0.8074408659369225,,False,False,0.0,False,False,0.0,0.0,-0.002649971037729489,-0.0,1.0,1.0,1.0802071017219927,0.011
