Date,Asset_pair.1,Asset_1_sym,Asset_2_sym,spread,portfolio_rets,cummulative_rets,CAGR,numunitsshort_New,numUnits_New,zScore_New,hedge_ratio_New,longexit_New,shortexit_New,feature01,sharpe_New,FAC1_Asset2,FAC2_short,FAC3_hedge,FAC4_cumret_feat1,FAC5_portRisk_shortexit,FAC6_Sharpe,FAC7_longexit,FAC8_Asset1_portRisk
8/18/1990,ZR_ZS,ZR,ZS,167.6630196711, , ,.0469,0,0,44.9402289267758,-.437438142563059,1,1,1.89138908433511E-016,.432496791325769, , , , , , , , 
8/19/1990,ZR_ZS,ZR,ZS,135.107699926931,0,1,.0469,0,0,44.9402289267758,-.437438142563059,1,1,3.64393359662442E-005,.432496791325769,.83074794711708,.388846484113982,-1.47138295100038,-2.07220642048785,.162858348162868,-.0510301987975924,.129351569404417,2.31217838306543
8/20/1990,ZR_ZS,ZR,ZS,121.146920290336,0,1,.0469,0,0,44.9402289267758,-.437438142563059,1,1,7.28786719322992E-005,.432496791325769,.822098768422359,.364438448761722,-1.40614190873518,-2.06137401534583,.284359111746457,-.132830420920979,.21060938878934,2.37408073502093
8/21/1990,ZR_ZS,ZR,ZS,111.156616776154,0,1,.0469,0,0,44.9402289267758,-.437438142563059,1,1,.000109318007898354,.432496791325769,.82049382695514,.361662267273151,-1.38328625129487,-2.06161283245724,.295417897089819,-.143942700048606,.217881157661415,2.37853601352123
8/22/1990,ZR_ZS,ZR,ZS,111.858690295288,0,1,.0469,0,0,44.9402289267758,-.437438142563059,1,1,.000145757343864409,.432496791325769,.817217384392845,.35872295320631,-1.3688954257762,-2.05711769841592,.30620505765105,-.15345035089777,.225559650047029,2.38619626619291
8/23/1990,ZR_ZS,ZR,ZS,109.337412356149,0,1,.0469,0,0,44.9402289267758,-.437438142563059,1,1,.000182196679830464,.432496791325769,.817755797870469,.358916058417603,-1.36768858044093,-2.05835693714507,.305695294253456,-.153325479292327,.22505586670361,2.38504327286204
8/24/1990,ZR_ZS,ZR,ZS,110.422980984148,0,1,.0469,0,0,44.9402289267758,-.437438142563059,1,1,.000218636015796519,.432496791325769,.817413826684935,.358759365910401,-1.36783276917244,-2.05758748869877,.306181757124912,-.153626469314267,.225459814407186,2.38572161602046
8/25/1990,ZR_ZS,ZR,ZS,111.289792775698,0,1,.0469,0,0,44.9402289267758,-.437438142563059,1,1,.000255075351762574,.432496791325769,.817272035541627,.358760577632438,-1.36859263033351,-2.05713082127237,.306103343466125,-.153453148144873,.225451399990875,2.38594100503605
8/26/1990,ZR_ZS,ZR,ZS,108.140806294977,0,1,.0469,0,0,44.9402289267758,-.437438142563059,1,1,.000291514687728629,.432496791325769,.818316674789611,.359343290026352,-1.36882839212503,-2.05917887153761,.304207011001772,-.152175580936991,.223930331396845,2.38363265595297
8/27/1990,ZR_ZS,ZR,ZS,105.291044626421,0,1,.0469,0,0,44.9402289267758,-.437438142563059,1,1,.000327954023694684,.432496791325769,.818638518199429,.359291913086613,-1.3660881648909,-2.06021500250132,.304626357870596,-.152918606427749,.224066235592708,2.38301618100897
8/28/1990,ZR_ZS,ZR,ZS,94.3095136998436,0,1,.0469,0,0,44.9402289267758,-.437438142563059,1,1,.000364393359660739,.432496791325769,.823490554174744,.362399438783759,-1.37239903471202,-2.06909104299159,.294052108528366,-.144924541875995,.215959683443926,2.37223838341405
8/29/1990,ZR_ZS,ZR,ZS,96.9738596544094,0,1,.0469,0,0,44.9402289267758,-.437438142563059,1,1,.000400832695626794,.432496791325769,.819691611084072,.359229279490403,-1.35853632007659,-2.06344646540153,.305530874731732,-.154796895582893,.224237993664094,2.3809981377512
8/30/1990,ZR_ZS,ZR,ZS,82.0849281488063,0,1,.0469,0,0,44.9402289267758,-.437438142563059,1,1,.000437272031592849,.432496791325769,.828253272910502,.365282088014009,-1.37648128422704,-2.07808372724543,.284406228536907,-.137921211331806,.208439605727409,2.36170489171153
8/31/1990,ZR_ZS,ZR,ZS,79.3625048800615,0,1,.0469,0,0,44.9402289267758,-.437438142563059,1,1,.000473711367558904,.432496791325769,.822124502626309,.359240349874145,-1.34327902156097,-2.0706977061386,.306922808611306,-.158293408111953,.224234219405149,2.37636753418903
9/1/1990,ZR_ZS,ZR,ZS,77.0209790174388,0,1,.0469,0,0,44.9402289267758,-.437438142563059,1,1,.00051015070352496,.432496791325769,.822433185345556,.359394561750047,-1.34128550856427,-2.07162482594805,.306226430072743,-.158271442228705,.22365018250901,2.37532471395939
9/2/1990,ZR_ZS,ZR,ZS,76.4418822698416,0,1,.0469,0,0,44.9402289267758,-.437438142563059,1,1,.000546590039491015,.432496791325769,.822696675056582,.359584668017606,-1.34175256863815,-2.07204148905194,.305569215066491,-.157767713754289,.223150759715552,2.37468611520017
9/3/1990,ZR_ZS,ZR,ZS,76.063547820138,0,1,.0469,0,0,44.9402289267758,-.437438142563059,1,1,.00058302937545707,.432496791325769,.822715468550515,.359573157315154,-1.34136478861748,-2.07209178403429,.305639489871418,-.157885327727926,.223177894464705,2.37461300714735
9/4/1990,ZR_ZS,ZR,ZS,75.8381639511381,0,1,.0469,0,0,44.9402289267758,-.437438142563059,1,1,.000619468711423061,.432496791325769,.822715593626167,.359564194160916,-1.34112300730941,-2.07208118063619,.305687865684014,-.157963972941994,.223198088150977,2.37457332238514
9/5/1990,ZR_ZS,ZR,ZS,87.3945360272548,0,1,.0469,0,0,44.9402289267758,-.437438142563059,1,1,.000655908047389117,.432496791325769,.825043940453509,.363257193875975,-1.37002681286428,-2.07227884335738,.291114457397879,-.14353830086086,.213521345627467,2.3681862582134
9/6/1990,ZR_ZS,ZR,ZS,92.2910197742431,0,1,.0469,0,0,44.9402289267758,-.437438142563059,1,1,.000692347383355172,.432496791325769,.821086835175427,.360231949577568,-1.35883817651327,-2.06589445258654,.301873292492813,-.152488559687699,.221415158867112,2.37715928046153
9/7/1990,ZR_ZS,ZR,ZS,84.2957281648968,0,1,.0469,0,0,44.9402289267758,-.437438142563059,1,1,.000728786719321227,.432496791325769,.823373490805529,.361339178494021,-1.35753939580393,-2.07071823319242,.298438280029908,-.150459885653381,.218532544391132,2.37225165300203
9/8/1990,ZR_ZS,ZR,ZS,83.7507011915545,0,1,.0469,0,0,44.9402289267758,-.437438142563059,1,1,.000765226055287282,.432496791325769,.821527424172119,.359570090084527,-1.34803293655842,-2.06838256029916,.305007027803125,-.156377610050379,.223153443631719,2.37660803673179
9/9/1990,ZR_ZS,ZR,ZS,83.3460040135413,0,1,.0469,0,0,44.9402289267758,-.437438142563059,1,1,.000801665391253337,.432496791325769,.82197249503229,.359951935813638,-1.34963061055226,-2.0689936817032,.303628108583688,-.155209866728939,.222152584146204,2.37552696967738
9/10/1990,ZR_ZS,ZR,ZS,82.9708663307603,0,1,.0469,0,0,44.9402289267758,-.437438142563059,1,1,.000838104727219392,.432496791325769,.821996967802969,.359946127975349,-1.34927472749757,-2.0690505992213,.303677080556936,-.155308129388251,.222164808458139,2.37544018207837
