Date,SB,NG,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,NG_SB_pair,sharpe,CAGR
1990-08-18,11.4,1.44,-2.476758286176233,7.8334680679062245,,False,False,0.0,False,False,0.0,0.0,,,,,1.0893190768461476,0.0498
1990-08-19,11.4,1.44,-3.1716981070509,6.832754725846705,,False,False,0.0,False,False,0.0,0.0,-0.06267288595355938,-0.0,1.0,1.0,1.0893190768461476,0.0498
1990-08-20,11.4,1.44,-3.5128429615886385,6.341506135312361,,False,False,0.0,False,False,0.0,0.0,-0.029847724498554353,-0.0,1.0,1.0,1.0893190768461476,0.0498
1990-08-21,11.28,1.4169999999999998,-3.7185725783923282,6.010782656418071,,False,False,0.0,False,False,0.0,0.0,-0.019984236839003782,-0.0,1.0,1.0,1.0893190768461476,0.0498
1990-08-22,11.09,1.42,-3.854666508315186,5.6163735581924366,,False,False,0.0,False,False,0.0,0.0,-0.02381176004006723,-0.0,1.0,1.0,1.0893190768461476,0.0498
1990-08-23,11.02,1.4280000000000002,-3.951052714698489,5.377896723410556,,False,False,0.0,False,False,0.0,0.0,-0.01431252890605622,-0.0,1.0,1.0,1.0893190768461476,0.0498
1990-08-24,11.31,1.545,-4.021980557846208,5.09604003812761,,False,False,0.0,False,False,0.0,0.0,-0.016084074940606666,-0.0,1.0,1.0,1.0893190768461476,0.0498
1990-08-25,11.67,1.525,-4.080148975748841,5.447772811983017,,False,False,0.0,False,False,0.0,0.0,0.019658412010941522,0.0,1.0,1.0,1.0893190768461476,0.0498
1990-08-26,11.67,1.525,-4.128879052253933,5.373459445312752,,False,False,0.0,False,False,0.0,0.0,-0.004136208996053914,-0.0,1.0,1.0,1.0893190768461476,0.0498
1990-08-27,11.67,1.525,-4.170447385896819,5.310067736507352,,False,False,0.0,False,False,0.0,0.0,-0.0035159149728896705,-0.0,1.0,1.0,1.0893190768461476,0.0498
