Date,HO,LE,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,LE_HO_pair,sharpe,CAGR
1990-08-18,0.8054,77.9,-0.010073788237651475,0.020651896286950078,,False,False,0.0,False,False,0.0,0.0,,,,,1.2566998313432272,0.039
1990-08-19,0.8054,77.9,-0.010132026354701939,0.016115146968718963,,False,False,0.0,False,False,0.0,0.0,-0.002844919050687266,-0.0,1.0,1.0,1.2566998313432272,0.039
1990-08-20,0.8054,77.9,-0.01016063610182522,0.013886447667815216,,False,False,0.0,False,False,0.0,0.0,-0.0013956292735125718,-0.0,1.0,1.0,1.2566998313432272,0.039
1990-08-21,0.8296,77.3,-0.010259833167431908,0.03651489615751358,,False,False,0.0,False,False,0.0,0.0,0.01394506453292425,0.0,1.0,1.0,1.2566998313432272,0.039
1990-08-22,0.8371,77.8,-0.01034008809007643,0.03264114659205375,,False,False,0.0,False,False,0.0,0.0,-0.0023597993805813044,-0.0,1.0,1.0,1.2566998313432272,0.039
1990-08-23,0.9135,78.22,-0.010540863739646742,0.08899363828483176,,False,False,0.0,False,False,0.0,0.0,0.03242363948378532,0.0,1.0,1.0,1.2566998313432272,0.039
1990-08-24,0.9623,76.72,-0.010824914291762473,0.13181257553598313,1.859510334833901,False,False,0.0,False,False,0.0,0.0,0.023884001341627437,0.0,1.0,1.0,1.2566998313432272,0.039
1990-08-25,0.9096,76.17,-0.010984840100644143,0.07288472953393554,0.3843995126578184,False,False,0.0,False,False,0.0,0.0,-0.03374410508723357,-0.0,1.0,1.0,1.2566998313432272,0.039
1990-08-26,0.9096,76.17,-0.011101341718666686,0.06401080128915848,0.026259052199246038,False,False,0.0,False,False,0.0,0.0,-0.005055824324406065,-0.0,1.0,1.0,1.2566998313432272,0.039
1990-08-27,0.9096,76.17,-0.011193878515575227,0.056962273468634916,-0.35824074811901985,False,False,0.0,False,True,0.0,0.0,-0.003999759915705171,-0.0,1.0,1.0,1.2566998313432272,0.039
1990-08-28,0.7809999999999999,76.95,-0.011081357067996322,-0.07171042638231706,-1.9820805091981184,False,False,0.0,False,False,0.0,0.0,-0.0787610201741103,-0.0,1.0,1.0,1.2566998313432272,0.039
1990-08-29,0.7952,76.65,-0.010982454888952208,-0.04660516723818675,-1.2044501025764394,False,False,0.0,False,False,0.0,0.0,0.015336090347525127,0.0,1.0,1.0,1.2566998313432272,0.039
1990-08-30,0.7164,76.07,-0.010805231752505659,-0.10555397941310529,-1.3568702763011011,False,False,0.0,False,False,0.0,0.0,-0.0383194069530135,-0.0,1.0,1.0,1.2566998313432272,0.039
1990-08-31,0.7554,76.2,-0.010686200874220132,-0.0588885066155741,-0.6186095150695134,False,False,0.0,False,False,0.0,0.0,0.029729129442469596,0.0,1.0,1.0,1.2566998313432272,0.039
1990-09-01,0.7589,76.32,-0.010590320634266449,-0.0493532708072153,-0.29533837957919173,False,False,0.0,False,False,0.0,0.0,0.006084430914308307,0.0,1.0,1.0,1.2566998313432272,0.039
1990-09-02,0.7589,76.32,-0.01050757026518417,-0.043037762638855837,0.04836071770393903,False,True,0.0,False,False,0.0,0.0,0.004046229736063052,0.0,1.0,1.0,1.2566998313432272,0.039
1990-09-03,0.7589,76.32,-0.010434976520167057,-0.03749740801914969,0.9157382348279025,False,False,0.0,False,False,0.0,0.0,0.003562247703326674,0.0,1.0,1.0,1.2566998313432272,0.039
