Date,PA,CL,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,CL_PA_pair,sharpe,CAGR
1990-08-18,117.15,28.63,-3.808444392037376,8.114237055969937,,False,False,0.0,False,False,0.0,0.0,,,,,1.9125688880975822,0.0575
1990-08-19,117.15,28.63,-3.863275561949789,6.5444206613775435,,False,False,0.0,False,False,0.0,0.0,-0.006892548578396941,-0.0,1.0,1.0,1.9125688880975822,0.0575
1990-08-20,117.15,28.63,-3.891108801762928,5.747555005527374,,False,False,0.0,False,False,0.0,0.0,-0.0034865768155288857,-0.0,1.0,1.0,1.9125688880975822,0.0575
1990-08-21,116.05,28.56,-3.9047794825157305,4.529497979350737,,False,False,0.0,False,False,0.0,0.0,-0.00535243810318665,-0.0,1.0,1.0,1.9125688880975822,0.0575
1990-08-22,116.5,28.41,-3.916529742061727,5.23139002802634,,False,False,0.0,False,False,0.0,0.0,0.003081601317942666,0.0,1.0,1.0,1.9125688880975822,0.0575
1990-08-23,115.95,31.22,-3.885312122927568,-5.34944447779867,,False,False,0.0,False,False,0.0,0.0,-0.044597931637370566,-0.0,1.0,1.0,1.9125688880975822,0.0575
1990-08-24,115.6,31.93,-3.8350832569106172,-6.854208393156014,,False,False,0.0,False,False,0.0,0.0,-0.006321097726078284,-0.0,1.0,1.0,1.9125688880975822,0.0575
1990-08-25,114.25,30.91,-3.7930756575633673,-2.993968575283688,,False,False,0.0,False,False,0.0,0.0,0.016675336474768435,0.0,1.0,1.0,1.9125688880975822,0.0575
1990-08-26,114.25,30.91,-3.759204058540948,-1.9469974495006994,,False,False,0.0,False,False,0.0,0.0,0.004543218776423493,0.0,1.0,1.0,1.9125688880975822,0.0575
1990-08-27,114.25,30.91,-3.7320698815957205,-1.1082800401237165,,False,False,0.0,False,False,0.0,0.0,0.003652818658065895,0.0,1.0,1.0,1.9125688880975822,0.0575
1990-08-28,110.4,26.91,-3.7364704297210287,9.851580736207126,,False,False,0.0,False,False,0.0,0.0,0.051955169015158335,0.0,1.0,1.0,1.9125688880975822,0.0575
1990-08-29,109.3,27.88,-3.741042299539019,4.9997406888521425,,False,False,0.0,False,False,0.0,0.0,-0.022714579387693487,-0.0,1.0,1.0,1.9125688880975822,0.0575
1990-08-30,109.4,25.92,-3.7619367167986733,11.890600300578384,,False,False,0.0,False,False,0.0,0.0,0.03330375334197784,0.0,1.0,1.0,1.9125688880975822,0.0575
1990-08-31,109.0,26.77,-3.7796845218663626,7.81784534963748,,False,False,0.0,False,False,0.0,0.0,-0.01937726329676238,-0.0,1.0,1.0,1.9125688880975822,0.0575
1990-09-01,108.0,27.32,-3.788423527865873,4.5002692187043465,,False,False,0.0,False,False,0.0,0.0,-0.015685959120031793,-0.0,1.0,1.0,1.9125688880975822,0.0575
1990-09-02,108.0,27.32,-3.7931454265379876,4.371266946982175,,False,False,0.0,False,False,0.0,0.0,-0.0006095687946582079,-0.0,1.0,1.0,1.9125688880975822,0.0575
1990-09-03,108.0,27.32,-3.7960287347188624,4.292494967480678,,False,False,0.0,False,False,0.0,0.0,-0.0003720792963357475,-0.0,1.0,1.0,1.9125688880975822,0.0575
1990-09-04,108.0,27.32,-3.7980271452993613,4.237898390421449,,False,False,0.0,False,False,0.0,0.0,-0.0002578203401092398,-0.0,1.0,1.0,1.9125688880975822,0.0575
