Date,CC,SI,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,SI_CC_pair,sharpe,CAGR
1990-08-18,1073.0,5.1789999999999985,-138.69893250285875,354.67822856769476,,False,False,0.0,False,False,0.0,0.0,,,,,1.6980607358413309,0.0511
1990-08-19,1073.0,5.1789999999999985,-151.77852155592163,286.9390368618821,,False,False,0.0,False,False,0.0,0.0,-0.036437315961639086,-0.0,1.0,1.0,1.6980607358413309,0.0511
1990-08-20,1073.0,5.1789999999999985,-157.38527486714622,257.90166146305,,False,False,0.0,False,False,0.0,0.0,-0.015379164742728685,-0.0,1.0,1.0,1.6980607358413309,0.0511
1990-08-21,1114.0,5.129,-161.30705207142873,286.6561299256422,,False,False,0.0,False,False,0.0,0.0,0.014811630698630847,0.0,1.0,1.0,1.6980607358413309,0.0511
1990-08-22,1119.0,5.091,-164.32516495426924,282.4205852178153,,False,False,0.0,False,False,0.0,0.0,-0.002165877118469585,-0.0,1.0,1.0,1.6980607358413309,0.0511
1990-08-23,1140.0,5.129,-166.84720076751282,284.2407072634269,,False,False,0.0,False,False,0.0,0.0,0.0009119947742374497,0.0,1.0,1.0,1.6980607358413309,0.0511
1990-08-24,1173.0,5.126,-169.18215510975958,305.7722729073723,,False,False,0.0,False,False,0.0,0.0,0.010553510942932056,0.0,1.0,1.0,1.6980607358413309,0.0511
1990-08-25,1330.0,5.187,-172.02645854296557,437.69875953763756,,False,False,0.0,False,False,0.0,0.0,0.059364808077422115,0.0,1.0,1.0,1.6980607358413309,0.0511
1990-08-26,1330.0,5.187,-175.05165515166266,422.00706472832576,,False,False,0.0,False,False,0.0,0.0,-0.007011503281357299,-0.0,1.0,1.0,1.6980607358413309,0.0511
1990-08-27,1330.0,5.187,-178.10041799731425,406.1931318479309,,False,False,0.0,False,False,0.0,0.0,-0.007016543033858513,-0.0,1.0,1.0,1.6980607358413309,0.0511
1990-08-28,1312.0,4.848,-181.22646288617696,433.41410792781414,,False,False,0.0,False,False,0.0,0.0,0.012426345015001243,0.0,1.0,1.0,1.6980607358413309,0.0511
1990-08-29,1237.0,4.84,-184.1030702056074,345.9411402048603,,False,False,0.0,False,False,0.0,0.0,-0.04110458097544095,-0.0,1.0,1.0,1.6980607358413309,0.0511
1990-08-30,1206.0,4.8260000000000005,-186.67002197421834,305.1304739524222,,False,False,0.0,False,False,0.0,0.0,-0.01937028645955007,-0.0,1.0,1.0,1.6980607358413309,0.0511
1990-08-31,1271.0,4.807,-189.18739334452803,361.57620019285366,,False,False,0.0,False,False,0.0,0.0,0.02588750234950836,0.0,1.0,1.0,1.6980607358413309,0.0511
1990-09-01,1274.0,4.759,-191.66539746221383,361.8643734773243,,False,False,0.0,False,False,0.0,0.0,0.00013181857565215235,0.0,1.0,1.0,1.6980607358413309,0.0511
1990-09-02,1274.0,4.759,-194.0790146260282,350.37796939473174,,False,False,0.0,False,False,0.0,0.0,-0.005226742325398417,-0.0,1.0,1.0,1.6980607358413309,0.0511
1990-09-03,1274.0,4.759,-196.4102611672379,339.2835671051147,,False,False,0.0,False,False,0.0,0.0,-0.005023008895295816,-0.0,1.0,1.0,1.6980607358413309,0.0511
1990-09-04,1274.0,4.759,-198.64640266469942,328.6417697186954,,False,False,0.0,False,False,0.0,0.0,-0.0047949885877911795,-0.0,1.0,1.0,1.6980607358413309,0.0511
1990-09-05,1290.0,4.7189999999999985,-200.84460253498085,342.21432063742566,,False,False,0.0,False,False,0.0,0.0,0.00606517015632898,0.0,1.0,1.0,1.6980607358413309,0.0511
1990-09-06,1250.0,4.735,-202.86397319064685,289.4390869422871,,False,False,0.0,False,False,0.0,0.0,-0.023874136823553223,-0.0,1.0,1.0,1.6980607358413309,0.0511
1990-09-07,1277.0,4.77,-204.77457567579683,300.22527402644926,,False,False,0.0,False,False,0.0,0.0,0.004785831946670238,0.0,1.0,1.0,1.6980607358413309,0.0511
1990-09-08,1230.0,4.8,-206.42857146084376,239.14285698795004,,False,False,0.0,False,False,0.0,0.0,-0.027503982969231348,-0.0,1.0,1.0,1.6980607358413309,0.0511
1990-09-09,1230.0,4.8,-207.86077462009632,232.26828182353768,,False,False,0.0,False,False,0.0,0.0,-0.003085908015009829,-0.0,1.0,1.0,1.6980607358413309,0.0511
1990-09-10,1230.0,4.8,-209.10122917528787,226.31409995861827,,False,False,0.0,False,False,0.0,0.0,-0.002665630769666003,-0.0,1.0,1.0,1.6980607358413309,0.0511
1990-09-11,1235.0,4.755,-210.21458014406224,235.4296714149841,,False,False,0.0,False,False,0.0,0.0,0.00407933970113084,0.0,1.0,1.0,1.6980607358413309,0.0511
1990-09-12,1214.0,4.777,-211.14474464145746,205.3615548477577,,False,False,0.0,False,False,0.0,0.0,-0.01352811863432285,-0.0,1.0,1.0,1.6980607358413309,0.0511
1990-09-13,1252.0,4.801,-212.01068363938174,234.13670784732824,,False,False,0.0,False,False,0.0,0.0,0.012677042313099405,0.0,1.0,1.0,1.6980607358413309,0.0511
1990-09-14,1264.0,4.773,-212.86336219839907,248.00317222704132,,False,False,0.0,False,False,0.0,0.0,0.006081791084445271,0.0,1.0,1.0,1.6980607358413309,0.0511
1990-09-15,1302.0,4.75,-213.81090135564824,286.3982185606709,,False,False,0.0,False,False,0.0,0.0,0.016566714196165584,0.0,1.0,1.0,1.6980607358413309,0.0511
1990-09-16,1302.0,4.75,-214.8191446161983,281.6090630730581,,False,False,0.0,False,False,0.0,0.0,-0.002062165939189353,-0.0,1.0,1.0,1.6980607358413309,0.0511
1990-09-17,1302.0,4.75,-215.8608463386622,276.6609798913546,,False,False,0.0,False,False,0.0,0.0,-0.002126068930633287,-0.0,1.0,1.0,1.6980607358413309,0.0511
1990-09-18,1326.0,4.766,-216.9707617077443,291.9173497008908,,False,False,0.0,False,False,0.0,0.0,0.006464337089043317,0.0,1.0,1.0,1.6980607358413309,0.0511
1990-09-19,1291.0,4.79,-218.00931062816983,246.7354020910666,,False,False,0.0,False,False,0.0,0.0,-0.01934767805339124,-0.0,1.0,1.0,1.6980607358413309,0.0511
1990-09-20,1261.0,4.769,-218.90838866624236,217.0258944506902,,False,False,0.0,False,False,0.0,0.0,-0.0128893021265834,-0.0,1.0,1.0,1.6980607358413309,0.0511
1990-09-21,1254.0,4.7780000000000005,-219.6627215357961,204.45151650196613,,False,False,0.0,False,False,0.0,0.0,-0.005458699063120809,-0.0,1.0,1.0,1.6980607358413309,0.0511
1990-09-22,1260.0,4.79,-220.3037403990229,204.7450834886804,,False,False,0.0,False,False,0.0,0.0,0.00012679683114834778,0.0,1.0,1.0,1.6980607358413309,0.0511
1990-09-23,1260.0,4.79,-220.84798372890003,202.13815793856884,,False,False,0.0,False,False,0.0,0.0,-0.001124711362344634,-0.0,1.0,1.0,1.6980607358413309,0.0511
1990-09-24,1260.0,4.79,-221.30965552193535,199.92675004992975,,False,False,0.0,False,False,0.0,0.0,-0.000953162960991287,-0.0,1.0,1.0,1.6980607358413309,0.0511
1990-09-25,1295.0,4.915,-221.7219043042798,205.23684034446478,,False,False,0.0,False,False,0.0,0.0,0.002226674071609711,0.0,1.0,1.0,1.6980607358413309,0.0511
1990-09-26,1288.0,4.834,-222.11895261005685,214.27698308298523,,False,False,0.0,False,False,0.0,0.0,0.0038277743299133427,0.0,1.0,1.0,1.6980607358413309,0.0511
1990-09-27,1274.0,4.798,-222.48201004973347,206.53131578137868,,False,False,0.0,False,False,0.0,0.0,-0.003308037965150653,-0.0,1.0,1.0,1.6980607358413309,0.0511
1990-09-28,1307.0,4.771,-222.9201623146682,243.4479055967181,,False,False,0.0,False,False,0.0,0.0,0.01557299242758557,0.0,1.0,1.0,1.6980607358413309,0.0511
1990-09-29,1281.0,4.761,-223.34560938864323,217.65155370066964,,False,False,0.0,False,False,0.0,0.0,-0.011003633839828409,-0.0,1.0,1.0,1.6980607358413309,0.0511
