Date,CT,SB,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,SB_CT_pair,sharpe,CAGR
1990-08-18,69.21,11.4,-5.052375245151448,11.612922205273485,,False,False,0.0,False,False,0.0,0.0,,,,,1.4708401057326372,0.0472
1990-08-19,69.21,11.4,-5.2505063142523,9.354228017523766,,False,False,0.0,False,False,0.0,0.0,-0.017500334543045153,-0.0,1.0,1.0,1.4708401057326372,0.0472
1990-08-20,69.21,11.4,-5.3384451970164095,8.35172475401292,,False,False,0.0,False,False,0.0,0.0,-0.00770751562296722,-0.0,1.0,1.0,1.4708401057326372,0.0472
1990-08-21,70.1,11.28,-5.4041348562406,9.141358821606026,,False,False,0.0,False,False,0.0,0.0,0.006025043907774644,0.0,1.0,1.0,1.4708401057326372,0.0472
1990-08-22,70.43,11.09,-5.463358520833655,9.841354003954777,,False,False,0.0,False,False,0.0,0.0,0.005342714214661324,0.0,1.0,1.0,1.4708401057326372,0.0472
1990-08-23,70.52,11.02,-5.51743951736448,9.717816518643431,,False,False,0.0,False,False,0.0,0.0,-0.0009407206157890593,-0.0,1.0,1.0,1.4708401057326372,0.0472
1990-08-24,70.43,11.31,-5.558779357165891,7.560205470453774,,False,False,0.0,False,False,0.0,0.0,-0.01618615434333185,-0.0,1.0,1.0,1.4708401057326372,0.0472
1990-08-25,72.35,11.67,-5.590935903738394,7.103778003372938,,False,False,0.0,False,False,0.0,0.0,-0.003317151157624259,-0.0,1.0,1.0,1.4708401057326372,0.0472
1990-08-26,72.35,11.67,-5.616183639512958,6.809136926883781,,False,False,0.0,False,False,0.0,0.0,-0.00213677012328891,-0.0,1.0,1.0,1.4708401057326372,0.0472
1990-08-27,72.35,11.67,-5.636132465605227,6.576334126386996,,False,False,0.0,False,False,0.0,0.0,-0.001685466418982869,-0.0,1.0,1.0,1.4708401057326372,0.0472
1990-08-28,72.99,11.44,-5.657971807186642,8.26280252578482,,False,False,0.0,False,False,0.0,0.0,0.012245880909053371,0.0,1.0,1.0,1.4708401057326372,0.0472
1990-08-29,71.9,11.47,-5.676212098270101,6.793847232841941,,False,False,0.0,False,False,0.0,0.0,-0.010721819883807474,-0.0,1.0,1.0,1.4708401057326372,0.0472
1990-08-30,72.38,11.05,-5.699738421389277,9.397890443648478,,False,False,0.0,False,False,0.0,0.0,0.019237608067289087,0.0,1.0,1.0,1.4708401057326372,0.0472
1990-08-31,72.86,10.83,-5.730485516224104,10.79884185929295,,False,False,0.0,False,False,0.0,0.0,0.01038348199015192,0.0,1.0,1.0,1.4708401057326372,0.0472
1990-09-01,72.19,10.33,-5.770613650889302,12.57956098631351,,False,False,0.0,False,False,0.0,0.0,0.013510722273357879,0.0,1.0,1.0,1.4708401057326372,0.0472
1990-09-02,72.19,10.33,-5.815409773506264,12.116817039680285,,False,False,0.0,False,False,0.0,0.0,-0.0034986602943923757,-0.0,1.0,1.0,1.4708401057326372,0.0472
1990-09-03,72.19,10.33,-5.861833516050088,11.637259779202587,,False,False,0.0,False,False,0.0,0.0,-0.003612681640291794,-0.0,1.0,1.0,1.4708401057326372,0.0472
1990-09-04,72.19,10.33,-5.907940863114451,11.16097088402772,,False,False,0.0,False,False,0.0,0.0,-0.003575231694266741,-0.0,1.0,1.0,1.4708401057326372,0.0472
1990-09-05,72.84,10.52,-5.951320013075702,10.232113462443621,,False,False,0.0,False,False,0.0,0.0,-0.006857673791215256,-0.0,1.0,1.0,1.4708401057326372,0.0472
