Date,NG,DC,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,DC_NG_pair,sharpe,CAGR
1990-08-18,1.44,13.43,-0.09178267624292138,0.2073586580575657,,False,False,0.0,False,False,0.0,0.0,,,,,1.5560964551752645,0.0642
1990-08-19,1.44,13.43,-0.09477349172673734,0.16719200610991747,,False,False,0.0,False,False,0.0,0.0,-0.014806301086591278,-0.0,1.0,1.0,1.5560964551752645,0.0642
1990-08-20,1.44,13.43,-0.09612574128934558,0.1490312944840888,,False,False,0.0,False,False,0.0,0.0,-0.006649915683452658,-0.0,1.0,1.0,1.5560964551752645,0.0642
1990-08-21,1.4169999999999998,13.43,-0.09679389749071773,0.11705795669966057,,False,False,0.0,False,False,0.0,0.0,-0.01176813390748277,-0.0,1.0,1.0,1.5560964551752645,0.0642
1990-08-22,1.42,13.43,-0.09721611049238219,0.11438763608730729,,False,False,0.0,False,False,0.0,0.0,-0.0009797140076514632,-0.0,1.0,1.0,1.5560964551752645,0.0642
1990-08-23,1.4280000000000002,13.43,-0.09754618951638172,0.11795467479499377,,False,False,0.0,False,False,0.0,0.0,0.001302768319738977,0.0,1.0,1.0,1.5560964551752645,0.0642
1990-08-24,1.545,13.43,-0.0982739368866058,0.22518102761288405,,False,False,0.0,False,False,0.0,0.0,0.03742866612215421,0.0,1.0,1.0,1.5560964551752645,0.0642
1990-08-25,1.525,13.43,-0.09907580748971724,0.1944119054130975,,False,False,0.0,False,False,0.0,0.0,-0.010775056198795964,-0.0,1.0,1.0,1.5560964551752645,0.0642
1990-08-26,1.525,13.43,-0.09986552391800724,0.1838060137811628,,False,False,0.0,False,False,0.0,0.0,-0.003700339782628004,-0.0,1.0,1.0,1.5560964551752645,0.0642
1990-08-27,1.525,13.43,-0.10060167495723159,0.1739195053243796,,False,False,0.0,False,False,0.0,0.0,-0.0034374936567615907,-0.0,1.0,1.0,1.5560964551752645,0.0642
1990-08-28,1.5019999999999998,13.43,-0.1011978510906202,0.14291285985297053,,False,False,0.0,False,False,0.0,0.0,-0.010837364942969082,-0.0,1.0,1.0,1.5560964551752645,0.0642
1990-08-29,1.5,13.43,-0.10167761604584813,0.1344696165042596,,False,False,0.0,False,False,0.0,0.0,-0.002946485368761224,-0.0,1.0,1.0,1.5560964551752645,0.0642
1990-08-30,1.505,13.43,-0.10208100413343933,0.13405211448790966,,False,False,0.0,False,False,0.0,0.0,-0.00014517023011896308,-0.0,1.0,1.0,1.5560964551752645,0.0642
1990-08-31,1.537,13.43,-0.10250910596903652,0.16030270683583958,,False,False,0.0,False,False,0.0,0.0,0.009009375273648559,0.0,1.0,1.0,1.5560964551752645,0.0642
1990-09-01,1.5,13.09,-0.10292660063512415,0.15269079768622484,,False,False,0.0,False,False,0.0,0.0,-0.002673369349359445,-0.0,1.0,1.0,1.5560964551752645,0.0642
1990-09-02,1.5,13.09,-0.10332134847971117,0.1475235484005808,,False,False,0.0,False,False,0.0,0.0,-0.0018114958609900906,-0.0,1.0,1.0,1.5560964551752645,0.0642
1990-09-03,1.5,13.09,-0.10368744057967492,0.1427314028120552,,False,False,0.0,False,False,0.0,0.0,-0.0016771771450685112,-0.0,1.0,1.0,1.5560964551752645,0.0642
1990-09-04,1.5,13.09,-0.10402278545642667,0.1383417383753749,,False,False,0.0,False,False,0.0,0.0,-0.0015339582980772172,-0.0,1.0,1.0,1.5560964551752645,0.0642
1990-09-05,1.51,13.09,-0.10435302823272487,0.14401886043363143,,False,False,0.0,False,False,0.0,0.0,0.0019739774994186935,0.0,1.0,1.0,1.5560964551752645,0.0642
1990-09-06,1.514,13.09,-0.10467845609271105,0.14375900974641231,,False,False,0.0,False,False,0.0,0.0,-9.009326477822309e-05,-0.0,1.0,1.0,1.5560964551752645,0.0642
1990-09-07,1.53,13.09,-0.10502972844789503,0.1551608546170542,,False,False,0.0,False,False,0.0,0.0,0.00392512091031422,0.0,1.0,1.0,1.5560964551752645,0.0642
