Date,CC,LE,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,LE_CC_pair,sharpe,CAGR
1990-08-18,1073.0,77.9,-13.420877550285613,27.51363883275053,,False,False,0.0,False,False,0.0,0.0,,,,,1.276982975587151,0.037
1990-08-19,1073.0,77.9,-13.498465704736999,21.46952160098772,,False,False,0.0,False,False,0.0,0.0,-0.002844919050687139,-0.0,1.0,1.0,1.276982975587151,0.037
1990-08-20,1073.0,77.9,-13.536581248148078,18.50032076926459,,False,False,0.0,False,False,0.0,0.0,-0.0013956292735126223,-0.0,1.0,1.0,1.276982975587151,0.037
1990-08-21,1114.0,77.3,-13.693226910745752,55.513559799353516,,False,False,0.0,False,False,0.0,0.0,0.0170372704497389,0.0,1.0,1.0,1.276982975587151,0.037
1990-08-22,1119.0,77.8,-13.807781851663616,44.75457194057071,,False,False,0.0,False,False,0.0,0.0,-0.004905510218390056,-0.0,1.0,1.0,1.276982975587151,0.037
1990-08-23,1140.0,78.22,-13.916418479437922,51.457746538365654,,False,False,0.0,False,False,0.0,0.0,0.0030078741326904526,0.0,1.0,1.0,1.276982975587151,0.037
1990-08-24,1173.0,76.72,-14.0956732632741,91.57994724161108,1.8550993496130206,False,False,0.0,False,False,0.0,0.0,0.017797127316248818,0.0,1.0,1.0,1.276982975587151,0.037
1990-08-25,1330.0,76.17,-14.518046631580374,224.1603880725229,2.1312595689082077,False,False,0.0,True,False,-1.0,-1.0,0.05442905197111934,0.0,1.0,1.0,1.276982975587151,0.037
1990-08-26,1330.0,76.17,-14.894402753651855,195.49334225433813,1.2238102888279536,False,False,0.0,False,False,-1.0,-1.0,-0.011631961199247533,0.011631961199247533,1.0116319611992475,1.0116319611992475,1.276982975587151,0.037
1990-08-27,1330.0,76.17,-15.204738856730362,171.85504128284833,0.6930121848421814,False,False,0.0,False,False,-1.0,-1.0,-0.009500371306210925,0.009500371306210925,1.0211323325054584,1.0211323325054584,1.276982975587151,0.037
1990-08-28,1312.0,76.95,-15.420354457275156,125.40372451267672,-0.05445192988121836,False,False,0.0,False,True,0.0,0.0,-0.01859096534557661,0.01859096534557661,1.0397232978510351,1.0397232978510351,1.276982975587151,0.037
1990-08-29,1237.0,76.65,-15.50216930686472,48.75872262881899,-1.1624428300475693,False,False,0.0,False,False,0.0,0.0,-0.03160304197318314,-0.0,1.0397232978510351,1.0397232978510351,1.276982975587151,0.037
1990-08-30,1206.0,76.07,-15.529303050450995,24.685916952192883,-1.3460896380226035,False,False,0.0,False,False,0.0,0.0,-0.01008363576772987,-0.0,1.0397232978510351,1.0397232978510351,1.276982975587151,0.037
1990-08-31,1271.0,76.2,-15.62488080658805,80.38408253799048,-0.5773388778555082,False,False,0.0,False,False,0.0,0.0,0.02262666778789108,0.0,1.0397232978510351,1.0397232978510351,1.276982975587151,0.037
1990-09-01,1274.0,76.32,-15.719375947773692,74.29722766591203,-0.45159784898667565,False,False,0.0,False,False,0.0,0.0,-0.002460624995110117,-0.0,1.0397232978510351,1.0397232978510351,1.276982975587151,0.037
