Date,CC,CL,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,CL_CC_pair,sharpe,CAGR
1990-09-04,1274.0,27.32,-42.20008468048968,121.09368652902185,,False,False,0.0,False,False,0.0,0.0,-0.003925745687647236,-0.0,1.0,1.0,1.9047817571275214,0.0578
1990-09-05,1290.0,29.12,-42.38729048648441,55.68210103357387,,False,False,0.0,False,False,0.0,0.0,-0.02591257841265973,-0.0,1.0,1.0,1.9047817571275214,0.0578
1990-09-06,1250.0,29.77,-42.36245571181492,-11.13030654073009,,False,False,0.0,False,False,0.0,0.0,-0.026606507595515045,-0.0,1.0,1.0,1.9047817571275214,0.0578
1990-09-07,1277.0,31.43,-42.171313008410344,-48.44436785433709,,False,False,0.0,False,False,0.0,0.0,-0.014338082217823426,-0.0,1.0,1.0,1.9047817571275214,0.0578
1990-09-08,1230.0,30.04,-41.95427920434483,-30.30654729851858,,False,False,0.0,False,False,0.0,0.0,0.007283368618009856,0.0,1.0,1.0,1.9047817571275214,0.0578
1990-09-09,1230.0,30.04,-41.74152843375295,-23.915514149938417,,False,False,0.0,False,False,0.0,0.0,0.0025729672012485267,0.0,1.0,1.0,1.9047817571275214,0.0578
1990-09-10,1230.0,30.04,-41.543997913485214,-17.98169732109568,,False,False,0.0,False,False,0.0,0.0,0.0023946168913425337,0.0,1.0,1.0,1.9047817571275214,0.0578
1990-09-11,1235.0,31.3,-41.27197355085683,-56.81277214181864,,False,False,0.0,False,False,0.0,0.0,-0.01536761063139962,-0.0,1.0,1.0,1.9047817571275214,0.0578
1990-09-12,1214.0,30.76,-40.99314500495775,-46.949140352500535,,False,False,0.0,False,False,0.0,0.0,0.003985387670598053,0.0,1.0,1.0,1.9047817571275214,0.0578
1990-09-13,1252.0,30.97,-40.78668208780202,-11.163544259228502,,False,False,0.0,False,False,0.0,0.0,0.014227940037915778,0.0,1.0,1.0,1.9047817571275214,0.0578
1990-09-14,1264.0,31.07,-40.635396299956504,1.4582369603513143,,False,False,0.0,False,False,0.0,0.0,0.004995674880273786,0.0,1.0,1.0,1.9047817571275214,0.0578
1990-09-15,1302.0,31.76,-40.533189116064484,14.66591367379192,,False,False,0.0,False,False,0.0,0.0,0.005100800542961177,0.0,1.0,1.0,1.9047817571275214,0.0578
1990-09-16,1302.0,31.76,-40.4555972451512,17.130231493997826,,False,False,0.0,False,False,0.0,0.0,0.0009526253892669387,0.0,1.0,1.0,1.9047817571275214,0.0578
1990-09-17,1302.0,31.76,-40.39194504574698,19.151825347075828,,False,False,0.0,False,False,0.0,0.0,0.0007820938470977887,0.0,1.0,1.0,1.9047817571275214,0.0578
1990-09-18,1326.0,33.63,-40.23940403979546,-27.25115785832145,,False,False,0.0,False,False,0.0,0.0,-0.017319385332463504,-0.0,1.0,1.0,1.9047817571275214,0.0578
1990-09-19,1291.0,33.41,-40.01646921632543,-45.950236517432586,,False,False,0.0,False,False,0.0,0.0,-0.007115461472318902,-0.0,1.0,1.0,1.9047817571275214,0.0578
1990-09-20,1261.0,33.18,-39.74471760002599,-57.72972996886233,,False,False,0.0,False,False,0.0,0.0,-0.004566173469486636,-0.0,1.0,1.0,1.9047817571275214,0.0578
