Date,QS,LE,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,LE_QS_pair,sharpe,CAGR
1990-08-18,240.5,77.9,-3.0081277267881545,6.166850083202746,,False,False,0.0,False,False,0.0,0.0,,,,,1.5267168719654864,0.042
1990-08-19,240.5,77.9,-3.025518175199672,4.812134151945543,,False,False,0.0,False,False,0.0,0.0,-0.0028449190506871845,-0.0,1.0,1.0,1.5267168719654864,0.042
1990-08-20,240.5,77.9,-3.0340613142400867,4.146623620697227,,False,False,0.0,False,False,0.0,0.0,-0.0013956292735126821,-0.0,1.0,1.0,1.5267168719654864,0.042
1990-08-21,251.5,77.3,-3.074232950911873,13.861792894512206,,False,False,0.0,False,False,0.0,0.0,0.019861808242920186,0.0,1.0,1.0,1.5267168719654864,0.042
1990-08-22,265.0,77.8,-3.132630937676355,21.281313048779595,,False,False,0.0,False,False,0.0,0.0,0.014584721073906265,0.0,1.0,1.0,1.5267168719654864,0.042
1990-08-23,275.25,78.22,-3.1950396224206874,25.334000734253834,,False,False,0.0,False,False,0.0,0.0,0.007716965095113641,0.0,1.0,1.0,1.5267168719654864,0.042
1990-08-24,290.5,76.72,-3.279295614617251,38.91244044656449,,False,False,0.0,False,False,0.0,0.0,0.025048425246091962,0.0,1.0,1.0,1.5267168719654864,0.042
1990-08-25,281.0,76.17,-3.336533795420015,26.85622080285745,0.7318829597610227,False,False,0.0,False,False,0.0,0.0,-0.022528935423288602,-0.0,1.0,1.0,1.5267168719654864,0.042
1990-08-26,281.0,76.17,-3.380323851381982,23.52073224023445,0.31316306796017307,False,False,0.0,False,False,0.0,0.0,-0.006194274807458468,-0.0,1.0,1.0,1.5267168719654864,0.042
1990-08-27,281.0,76.17,-3.41545362992587,20.844897008546468,-0.09930179926403035,False,False,0.0,False,True,0.0,0.0,-0.004944673379029825,-0.0,1.0,1.0,1.5267168719654864,0.042
1990-08-28,281.0,76.95,-3.4407002174273646,16.238118268964286,-0.9305228328966003,False,False,0.0,False,False,0.0,0.0,-0.008441004939682672,-0.0,1.0,1.0,1.5267168719654864,0.042
1990-08-29,242.5,76.65,-3.411880667411601,-19.02065315709922,-2.2752238148842165,True,False,1.0,False,False,0.0,1.0,-0.06995501316306899,-0.0,1.0,1.0,1.5267168719654864,0.042
1990-08-30,226.0,76.07,-3.3616043945790124,-29.717246295625444,-1.7709493527489086,False,False,1.0,False,False,0.0,1.0,-0.022205128051325414,-0.022205128051325414,0.9777948719486745,0.9777948719486745,1.5267168719654864,0.042
1990-08-31,234.5,76.2,-3.324694226126737,-18.841700030857368,-1.0156705081798847,False,False,1.0,False,False,0.0,1.0,0.022293187040140616,0.022293187040140616,1.0000880589888153,1.0000880589888153,1.5267168719654864,0.042
1990-09-01,242.0,76.32,-3.3021915158056587,-10.023256486287863,-0.49217096443899333,False,False,1.0,False,False,0.0,1.0,0.01785025993976514,0.01785025993976514,1.0179383189285804,1.0179383189285804,1.5267168719654864,0.042
1990-09-02,242.0,76.32,-3.2838583027387958,-8.624065665024858,-0.264342037606191,False,False,1.0,False,False,0.0,1.0,0.002840281096243537,0.002840281096243537,1.0207786000248238,1.0207786000248238,1.5267168719654864,0.042
1990-09-03,242.0,76.32,-3.26792791035649,-7.4082581184073035,-0.019456380247472642,False,False,1.0,False,False,0.0,1.0,0.0024741292530834915,0.0024741292530834915,1.0232527292779074,1.0232527292779074,1.5267168719654864,0.042
