Date,CC,DC,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,DC_CC_pair,sharpe,CAGR
1990-08-18,1073.0,13.43,-68.39084139489906,154.51100006650574,,False,False,0.0,False,False,0.0,0.0,,,,,1.5876896103490727,0.0506
1990-08-19,1073.0,13.43,-70.61941432138137,124.58126566384817,,False,False,0.0,False,False,0.0,0.0,-0.014806301086591398,-0.0,1.0,1.0,1.5876896103490727,0.0506
1990-08-20,1073.0,13.43,-71.62702805796376,111.0490131815468,,False,False,0.0,False,False,0.0,0.0,-0.0066499156834525985,-0.0,1.0,1.0,1.5876896103490727,0.0506
1990-08-21,1114.0,13.43,-72.54562148981027,139.71230339184808,,False,False,0.0,False,False,0.0,0.0,0.013725738200180415,0.0,1.0,1.0,1.5876896103490727,0.0506
1990-08-22,1119.0,13.43,-73.3446801796538,133.9809451872494,,False,False,0.0,False,False,0.0,0.0,-0.0027240048950548813,-0.0,1.0,1.0,1.5876896103490727,0.0506
1990-08-23,1140.0,13.43,-74.12098698291052,144.55514481951172,,False,False,0.0,False,False,0.0,0.0,0.004951754950079752,0.0,1.0,1.0,1.5876896103490727,0.0506
1990-08-24,1173.0,13.43,-74.95848024639628,166.30761029089797,,False,False,0.0,False,False,0.0,0.0,0.009979603348658429,0.0,1.0,1.0,1.5876896103490727,0.0506
1990-08-25,1330.0,13.43,-76.33271771687254,304.85160106240187,,False,False,0.0,False,False,0.0,0.0,0.058826013186260684,0.0,1.0,1.0,1.5876896103490727,0.0506
1990-08-26,1330.0,13.43,-77.90172500693508,283.77983315686197,,False,False,0.0,False,False,0.0,0.0,-0.008867767473556214,-0.0,1.0,1.0,1.5876896103490727,0.0506
1990-08-27,1330.0,13.43,-79.48402836399163,262.52949907159245,,False,False,0.0,False,False,0.0,0.0,-0.008863647780875901,-0.0,1.0,1.0,1.5876896103490727,0.0506
1990-08-28,1312.0,13.43,-80.93192142653207,225.08429524167423,,False,False,0.0,False,False,0.0,0.0,-0.015609220347194556,-0.0,1.0,1.0,1.5876896103490727,0.0506
1990-08-29,1237.0,13.43,-82.01094899945596,135.59295493730656,,False,False,0.0,False,False,0.0,0.0,-0.03827021497105025,-0.0,1.0,1.0,1.5876896103490727,0.0506
1990-08-30,1206.0,13.43,-82.73795118357657,94.82931560456677,,False,False,0.0,False,False,0.0,0.0,-0.017591988198044767,-0.0,1.0,1.0,1.5876896103490727,0.0506
1990-08-31,1271.0,13.43,-83.40524574180687,150.8675496875337,,False,False,0.0,False,False,0.0,0.0,0.023435855289255944,0.0,1.0,1.0,1.5876896103490727,0.0506
1990-09-01,1274.0,13.09,-84.09180238277821,173.2383068094332,,False,False,0.0,False,False,0.0,0.0,0.009420211377859845,0.0,1.0,1.0,1.5876896103490727,0.0506
1990-09-02,1274.0,13.09,-84.76243712546005,164.45969802772788,,False,False,0.0,False,False,0.0,0.0,-0.0036830125231956065,-0.0,1.0,1.0,1.5876896103490727,0.0506
1990-09-03,1274.0,13.09,-85.39777642812294,156.14310655587065,,False,False,0.0,False,False,0.0,0.0,-0.0034770439212531016,-0.0,1.0,1.0,1.5876896103490727,0.0506
1990-09-04,1274.0,13.09,-85.98829698999995,148.4131924009007,,False,False,0.0,False,False,0.0,0.0,-0.0032213521638352785,-0.0,1.0,1.0,1.5876896103490727,0.0506
1990-09-05,1290.0,13.09,-86.57126641560347,156.78212261975045,,False,False,0.0,False,False,0.0,0.0,0.003453643313286149,0.0,1.0,1.0,1.5876896103490727,0.0506
1990-09-06,1250.0,13.09,-87.02755235517328,110.80933967078181,,False,False,0.0,False,False,0.0,0.0,-0.019241990064800367,-0.0,1.0,1.0,1.5876896103490727,0.0506
1990-09-07,1277.0,13.09,-87.46009012594259,132.14742025141163,,False,False,0.0,False,False,0.0,0.0,0.008810643867862891,0.0,1.0,1.0,1.5876896103490727,0.0506
