Date,CT,NG,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,NG_CT_pair,sharpe,CAGR
1990-08-18,69.21,1.44,-15.036529911075183,47.55739692805173,,False,False,0.0,False,False,0.0,0.0,,,,,1.107548716696175,0.044
1990-08-19,69.21,1.44,-19.25554613938533,41.48201355928512,,False,False,0.0,False,False,0.0,0.0,-0.06267288595355938,-0.0,1.0,1.0,1.107548716696175,0.044
1990-08-20,69.21,1.44,-21.326654506276284,38.499617510962146,,False,False,0.0,False,False,0.0,0.0,-0.029847724498554343,-0.0,1.0,1.0,1.107548716696175,0.044
1990-08-21,70.1,1.4169999999999998,-22.619863426543603,38.047653524587716,,False,False,0.0,False,False,0.0,0.0,-0.004424411205113301,-0.0,1.0,1.0,1.107548716696175,0.044
1990-08-22,70.43,1.42,-23.522926119997457,37.02744490960362,,False,False,0.0,False,False,0.0,0.0,-0.009825517768448517,-0.0,1.0,1.0,1.107548716696175,0.044
1990-08-23,70.52,1.4280000000000002,-24.195359282118027,35.96902694513545,,False,False,0.0,False,False,0.0,0.0,-0.010073362163644371,-0.0,1.0,1.0,1.107548716696175,0.044
1990-08-24,70.43,1.545,-24.691257098564048,32.28200778271855,,False,False,0.0,False,False,0.0,0.0,-0.033957334144092445,-0.0,1.0,1.0,1.107548716696175,0.044
1990-08-25,72.35,1.525,-25.092824545224566,34.08344256853253,,False,False,0.0,False,False,0.0,0.0,0.016285399108809377,0.0,1.0,1.0,1.107548716696175,0.044
1990-08-26,72.35,1.525,-25.425918366350057,33.57547449131616,,False,False,0.0,False,False,0.0,0.0,-0.004571160820629828,-0.0,1.0,1.0,1.107548716696175,0.044
1990-08-27,72.35,1.525,-25.707793104023768,33.14561551636375,,False,False,0.0,False,False,0.0,0.0,-0.003853357955782233,-0.0,1.0,1.0,1.107548716696175,0.044
1990-08-28,72.99,1.5019999999999998,-25.956945963720166,34.00266716249231,,False,False,0.0,False,False,0.0,0.0,0.007653795856811876,0.0,1.0,1.0,1.107548716696175,0.044
1990-08-29,71.9,1.5,-26.174198387775547,32.638702418336685,,False,False,0.0,False,False,0.0,0.0,-0.01227014054197778,-0.0,1.0,1.0,1.107548716696175,0.044
1990-08-30,72.38,1.505,-26.367648079038325,32.69668964104732,,False,False,0.0,False,False,0.0,0.0,0.0005174505600887225,0.0,1.0,1.0,1.107548716696175,0.044
1990-08-31,72.86,1.537,-26.540268142122702,32.067607865557406,,False,False,0.0,False,False,0.0,0.0,-0.005535138888636473,-0.0,1.0,1.0,1.107548716696175,0.044
1990-09-01,72.19,1.5,-26.696538650522168,32.14519202421675,,False,False,0.0,False,False,0.0,0.0,0.0006912664623267478,0.0,1.0,1.0,1.107548716696175,0.044
1990-09-02,72.19,1.5,-26.839030362193746,31.931454456709375,,False,False,0.0,False,False,0.0,0.0,-0.0019007588446316337,-0.0,1.0,1.0,1.107548716696175,0.044
1990-09-03,72.19,1.5,-26.969764202376734,31.7353536964349,,False,False,0.0,False,False,0.0,0.0,-0.0017408795420778853,-0.0,1.0,1.0,1.107548716696175,0.044
1990-09-04,72.19,1.5,-27.09035060070338,31.554474098944922,,False,False,0.0,False,False,0.0,0.0,-0.0016031797418662433,-0.0,1.0,1.0,1.107548716696175,0.044
1990-09-05,72.84,1.51,-27.20335341633542,31.762936341333514,,False,False,0.0,False,False,0.0,0.0,0.001829947469618899,0.0,1.0,1.0,1.107548716696175,0.044
1990-09-06,73.16,1.514,-27.31019887203382,31.812358907740794,,False,False,0.0,False,False,0.0,0.0,0.0004316093313585956,0.0,1.0,1.0,1.107548716696175,0.044
1990-09-07,72.71,1.53,-27.408818565185875,30.774507595265604,,False,False,0.0,False,False,0.0,0.0,-0.009052700552859517,-0.0,1.0,1.0,1.107548716696175,0.044
1990-09-08,72.94,1.51,-27.502318446221285,31.411499146205855,,False,False,0.0,False,False,0.0,0.0,0.005564775865754148,0.0,1.0,1.0,1.107548716696175,0.044
1990-09-09,72.94,1.51,-27.59107378780004,31.277478580421942,,False,False,0.0,False,False,0.0,0.0,-0.0011694381949350218,-0.0,1.0,1.0,1.107548716696175,0.044
1990-09-10,72.94,1.51,-27.675414004499384,31.15012485320593,,False,False,0.0,False,False,0.0,0.0,-0.001110031079987364,-0.0,1.0,1.0,1.107548716696175,0.044
1990-09-11,72.06,1.525,-27.75216252850638,29.73795214402778,,False,False,0.0,False,False,0.0,0.0,-0.012346104442511231,-0.0,1.0,1.0,1.107548716696175,0.044
1990-09-12,71.84,1.525,-27.821618039012815,29.41203249050546,,False,False,0.0,False,False,0.0,0.0,-0.002852239876369893,-0.0,1.0,1.0,1.107548716696175,0.044
1990-09-13,72.54,1.543,-27.88524703300253,29.513063828077108,,False,False,0.0,False,False,0.0,0.0,0.000874223553191276,0.0,1.0,1.0,1.107548716696175,0.044
1990-09-14,72.46,1.54,-27.943658484813202,29.426765933387664,,False,False,0.0,False,False,0.0,0.0,-0.0007472116906837232,-0.0,1.0,1.0,1.107548716696175,0.044
1990-09-15,71.59,1.52,-27.99650358190703,29.035314555501316,,False,False,0.0,False,False,0.0,0.0,-0.003429431483051271,-0.0,1.0,1.0,1.107548716696175,0.044
1990-09-16,71.59,1.52,-28.04441591140413,28.962487814665728,,False,False,0.0,False,False,0.0,0.0,-0.0006376144904768699,-0.0,1.0,1.0,1.107548716696175,0.044
1990-09-17,71.59,1.52,-28.08794108965614,28.896329543722672,,False,False,0.0,False,False,0.0,0.0,-0.0005788952234288537,-0.0,1.0,1.0,1.107548716696175,0.044
1990-09-18,71.6,1.537,-28.126407851370267,28.369711132443896,,False,False,0.0,False,False,0.0,0.0,-0.004586058403860422,-0.0,1.0,1.0,1.107548716696175,0.044
1990-09-19,72.3,1.56,-28.16059389403837,28.369473525300137,,False,False,0.0,False,False,0.0,0.0,-2.0442748644974374e-06,-0.0,1.0,1.0,1.107548716696175,0.044
