Date,PL,LE,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,LE_PL_pair,sharpe,CAGR
1990-08-18,507.4,77.9,-6.346461574105238,13.010643377201916,,False,False,0.0,False,False,0.0,0.0,,,,,1.1110778108817219,0.0382
1990-08-19,507.4,77.9,-6.3831514432279155,10.152502572545302,,False,False,0.0,False,False,0.0,0.0,-0.0028449190506872283,-0.0,1.0,1.0,1.1110778108817219,0.0382
1990-08-20,507.4,77.9,-6.401175512870769,8.748427547367044,,False,False,0.0,False,False,0.0,0.0,-0.0013956292735125815,-0.0,1.0,1.0,1.1110778108817219,0.0382
1990-08-21,504.1,77.3,-6.411818270510064,8.466447689572078,,False,False,0.0,False,False,0.0,0.0,-0.00028205501070089896,-0.0,1.0,1.0,1.1110778108817219,0.0382
1990-08-22,500.3,77.8,-6.40187197822502,2.2343600940934607,,False,False,0.0,False,False,0.0,0.0,-0.006242289744733178,-0.0,1.0,1.0,1.1110778108817219,0.0382
1990-08-23,502.8,78.22,-6.39187499567964,2.827537837938621,,False,False,0.0,False,False,0.0,0.0,0.0005915377278771891,0.0,1.0,1.0,1.1110778108817219,0.0382
1990-08-24,505.9,76.72,-6.4070167568500525,14.353674414463967,,False,False,0.0,False,False,0.0,0.0,0.011555645933889323,0.0,1.0,1.0,1.1110778108817219,0.0382
1990-08-25,507.3,76.17,-6.430201461182658,17.51155470171699,1.471156487273911,False,False,0.0,False,False,0.0,0.0,0.003167101476447588,0.0,1.0,1.0,1.1110778108817219,0.0382
1990-08-26,507.3,76.17,-6.450222498951904,15.986552254833498,1.0453327668215948,False,False,0.0,False,False,0.0,0.0,-0.0015271198783942796,-0.0,1.0,1.0,1.1110778108817219,0.0382
1990-08-27,507.3,76.17,-6.4666449294241675,14.735655725761148,0.6957778755207693,False,False,0.0,False,False,0.0,0.0,-0.0012510662433715693,-0.0,1.0,1.0,1.1110778108817219,0.0382
1990-08-28,486.0,76.95,-6.444048240963255,-9.869512142122517,-1.9302955856909678,False,False,0.0,False,True,0.0,0.0,-0.025059508991376184,-0.0,1.0,1.0,1.1110778108817219,0.0382
1990-08-29,482.9,76.65,-6.418268786430403,-9.060302479890424,-1.3503212918028744,False,False,0.0,False,False,0.0,0.0,0.000830077561034736,0.0,1.0,1.0,1.1110778108817219,0.0382
