Date,HG,DC,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,DC_HG_pair,sharpe,CAGR
1990-08-18,1.339,13.43,-0.08534514131199426,0.19281475217991706,,False,False,0.0,False,False,0.0,0.0,,,,,1.6355814677427152,0.0475
1990-08-19,1.339,13.43,-0.08812618432090367,0.15546534457026362,,False,False,0.0,False,False,0.0,0.0,-0.014806301086591268,-0.0,1.0,1.0,1.6355814677427152,0.0475
1990-08-20,1.339,13.43,-0.08938358860169009,0.1385784050793022,,False,False,0.0,False,False,0.0,0.0,-0.006649915683452626,-0.0,1.0,1.0,1.6355814677427152,0.0475
1990-08-21,1.3230000000000002,13.43,-0.09004386335670532,0.11371091511944775,,False,False,0.0,False,False,0.0,0.0,-0.009820162361528889,-0.0,1.0,1.0,1.6355814677427152,0.0475
1990-08-22,1.321,13.43,-0.09045375087634883,0.10620612573063526,,False,False,0.0,False,False,0.0,0.0,-0.002959542360664011,-0.0,1.0,1.0,1.6355814677427152,0.0475
1990-08-23,1.2919999999999998,13.43,-0.09060356141101908,0.07519417025001363,,False,False,0.0,False,False,0.0,0.0,-0.012361241795947246,-0.0,1.0,1.0,1.6355814677427152,0.0475
1990-08-24,1.295,13.43,-0.09063903289626546,0.07771778820315478,,False,False,0.0,False,False,0.0,0.0,0.001004512128968267,0.0,1.0,1.0,1.6355814677427152,0.0475
1990-08-25,1.2919999999999998,13.43,-0.0906048648208619,0.07517666545582458,,False,False,0.0,False,False,0.0,0.0,-0.001012874327315637,-0.0,1.0,1.0,1.6355814677427152,0.0475
1990-08-26,1.2919999999999998,13.43,-0.09053623084615511,0.07609841973613674,,False,False,0.0,False,False,0.0,0.0,0.0003675400532325431,0.0,1.0,1.0,1.6355814677427152,0.0475
1990-08-27,1.2919999999999998,13.43,-0.09045282616063015,0.07721854466273692,,False,False,0.0,False,False,0.0,0.0,0.000446837886172843,0.0,1.0,1.0,1.6355814677427152,0.0475
1990-08-28,1.305,13.43,-0.09040485503473616,0.09086279688349319,,False,False,0.0,False,False,0.0,0.0,0.005416240212671434,0.0,1.0,1.0,1.6355814677427152,0.0475
1990-08-29,1.29,13.43,-0.090336103530309,0.07678612958795017,,False,False,0.0,False,False,0.0,0.0,-0.005623437718178625,-0.0,1.0,1.0,1.6355814677427152,0.0475
1990-08-30,1.297,13.43,-0.09027841558516261,0.08456087869126616,,False,False,0.0,False,False,0.0,0.0,0.003098201919822335,0.0,1.0,1.0,1.6355814677427152,0.0475
1990-08-31,1.296,13.43,-0.09022707171180694,0.08425042691043294,,False,False,0.0,False,False,0.0,0.0,-0.0001237969628884202,-0.0,1.0,1.0,1.6355814677427152,0.0475
1990-09-01,1.3,13.09,-0.09027470106829316,0.11830416301604263,,False,False,0.0,False,False,0.0,0.0,0.013721962054381214,0.0,1.0,1.0,1.6355814677427152,0.0475
1990-09-02,1.3,13.09,-0.09037837527981397,0.11694706758723505,,False,False,0.0,False,False,0.0,0.0,-0.0005465430926149832,-0.0,1.0,1.0,1.6355814677427152,0.0475
