Date,KC,LE,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,LE_KC_pair,sharpe,CAGR
1990-08-18,94.5,77.9,-1.1819878178024141,2.42314899319193,,False,False,0.0,False,False,0.0,0.0,,,,,1.184796069143032,0.0378
1990-08-19,94.5,77.9,-1.1888210709204532,1.8908385752966836,,False,False,0.0,False,False,0.0,0.0,-0.0028449190506872066,-0.0,1.0,1.0,1.184796069143032,0.0378
1990-08-20,94.5,77.9,-1.19217793844361,1.6293385952427712,,False,False,0.0,False,False,0.0,0.0,-0.0013956292735126836,-0.0,1.0,1.0,1.184796069143032,0.0378
1990-08-21,92.85,77.3,-1.1912653005543967,0.7651922671451246,,False,False,0.0,False,False,0.0,0.0,-0.0046727078514388586,-0.0,1.0,1.0,1.184796069143032,0.0378
1990-08-22,93.05,77.8,-1.1892480946819726,0.5264982337425295,,False,False,0.0,False,False,0.0,0.0,-0.0012862506291617356,-0.0,1.0,1.0,1.184796069143032,0.0378
1990-08-23,95.15,78.22,-1.1908741797167566,1.9998216625553056,,False,False,0.0,False,False,0.0,0.0,0.007824333687950609,0.0,1.0,1.0,1.184796069143032,0.0378
1990-08-24,98.55,76.72,-1.2018698963966161,6.342541548451607,2.1248609609055253,False,False,0.0,False,False,0.0,0.0,0.022765662329262654,0.0,1.0,1.0,1.184796069143032,0.0378
1990-08-25,100.0,76.17,-1.2152384641433298,7.4352861862025605,1.6222722802548304,False,False,0.0,False,False,0.0,0.0,0.005674687828880194,0.0,1.0,1.0,1.184796069143032,0.0378
1990-08-26,100.0,76.17,-1.2265104307061592,6.576700493111858,0.9794591900055383,False,False,0.0,False,False,0.0,0.0,-0.004438894876054614,-0.0,1.0,1.0,1.184796069143032,0.0378
1990-08-27,100.0,76.17,-1.235718218400739,5.875343304415708,0.5544971618220418,False,False,0.0,False,False,0.0,0.0,-0.003612921720685797,-0.0,1.0,1.0,1.184796069143032,0.0378
1990-08-28,98.35,76.95,-1.2397309003205212,2.9527072203358813,-0.5915926115513321,False,False,0.0,False,True,0.0,0.0,-0.015084784113105237,-0.0,1.0,1.0,1.184796069143032,0.0378
