Date,KC,SI,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,SI_KC_pair,sharpe,CAGR
1990-08-18,94.5,5.1789999999999985,-12.215330029375723,31.236805777863147,,False,False,0.0,False,False,0.0,0.0,,,,,1.791720126286596,0.0589
1990-08-19,94.5,5.1789999999999985,-13.36726028614594,25.27095897805019,,False,False,0.0,False,False,0.0,0.0,-0.03643731596163912,-0.0,1.0,1.0,1.791720126286596,0.0589
1990-08-20,94.5,5.1789999999999985,-13.861051700787808,22.713613241619967,,False,False,0.0,False,False,0.0,0.0,-0.015379164742728667,-0.0,1.0,1.0,1.791720126286596,0.0589
1990-08-21,92.85,5.129,-14.135109016109194,20.35102585637594,,False,False,0.0,False,False,0.0,0.0,-0.01428849134069532,-0.0,1.0,1.0,1.791720126286596,0.0589
1990-08-22,93.05,5.091,-14.32189466475282,20.137234261743387,,False,False,0.0,False,False,0.0,0.0,-0.0012881901171117424,-0.0,1.0,1.0,1.791720126286596,0.0589
1990-08-23,95.15,5.129,-14.472031305996545,20.922951431543737,,False,False,0.0,False,False,0.0,0.0,0.00463886445324846,0.0,1.0,1.0,1.791720126286596,0.0589
1990-08-24,98.55,5.126,-14.616283827528266,23.62692910009011,,False,False,0.0,False,False,0.0,0.0,0.015587305018117234,0.0,1.0,1.0,1.791720126286596,0.0589
1990-08-25,100.0,5.187,-14.753719864595777,23.47245506234171,,False,False,0.0,False,False,0.0,0.0,-0.0008750704475211151,-0.0,1.0,1.0,1.791720126286596,0.0589
1990-08-26,100.0,5.187,-14.882506951989297,22.80443644003151,,False,False,0.0,False,False,0.0,0.0,-0.003769951170837985,-0.0,1.0,1.0,1.791720126286596,0.0589
1990-08-27,100.0,5.187,-15.002482286342445,22.182124380741726,,False,False,0.0,False,False,0.0,0.0,-0.0034997159713136532,-0.0,1.0,1.0,1.791720126286596,0.0589
1990-08-28,98.35,4.848,-15.125605650873426,25.021063804565628,,False,False,0.0,False,False,0.0,0.0,0.016536329305955947,0.0,1.0,1.0,1.791720126286596,0.0589
1990-08-29,98.4,4.84,-15.249223654996655,24.5937575098162,,False,False,0.0,False,False,0.0,0.0,-0.002481363559011432,-0.0,1.0,1.0,1.791720126286596,0.0589
1990-08-30,97.8,4.8260000000000005,-15.369921623628032,23.624758244371108,,False,False,0.0,False,False,0.0,0.0,-0.005634527711971516,-0.0,1.0,1.0,1.791720126286596,0.0589
1990-08-31,100.4,4.807,-15.495531325247693,25.912980919534334,,False,False,0.0,False,False,0.0,0.0,0.013084005246326559,0.0,1.0,1.0,1.791720126286596,0.0589
1990-09-01,99.65,4.759,-15.622712617373125,25.301510653921298,,False,False,0.0,False,False,0.0,0.0,-0.003514227439048835,-0.0,1.0,1.0,1.791720126286596,0.0589
1990-09-02,99.65,4.759,-15.749236095120358,24.699385423322212,,False,False,0.0,False,False,0.0,0.0,-0.003448585974676828,-0.0,1.0,1.0,1.791720126286596,0.0589
1990-09-03,99.65,4.759,-15.873470640068916,24.108153223912026,,False,False,0.0,False,False,0.0,0.0,-0.0033747700608798164,-0.0,1.0,1.0,1.791720126286596,0.0589
1990-09-04,99.65,4.759,-15.994220942646693,23.533502533944386,,False,False,0.0,False,False,0.0,0.0,-0.0032693983111236435,-0.0,1.0,1.0,1.791720126286596,0.0589
1990-09-05,98.1,4.7189999999999985,-16.107990320524507,22.086393677444875,,False,False,0.0,False,False,0.0,0.0,-0.00831129104188826,-0.0,1.0,1.0,1.791720126286596,0.0589
1990-09-06,100.25,4.735,-16.220180053900265,23.44744744478224,,False,False,0.0,False,False,0.0,0.0,0.007687286896995695,0.0,1.0,1.0,1.791720126286596,0.0589
1990-09-07,99.2,4.77,-16.325188636913197,21.328850201924055,,False,False,0.0,False,False,0.0,0.0,-0.011964666436481268,-0.0,1.0,1.0,1.791720126286596,0.0589
1990-09-08,95.5,4.8,-16.411661381259204,16.724025369955825,,False,False,0.0,False,False,0.0,0.0,-0.026422602666508827,-0.0,1.0,1.0,1.791720126286596,0.0589
