Date,QS,DC,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,DC_QS_pair,sharpe,CAGR
1990-08-18,240.5,13.43,-15.328981691960134,34.63177587697541,,False,False,0.0,False,False,0.0,0.0,,,,,1.8271343616170785,0.0501
1990-08-19,240.5,13.43,-15.828489416861341,27.923387131552204,,False,False,0.0,False,False,0.0,0.0,-0.014806301086591306,-0.0,1.0,1.0,1.8271343616170785,0.0501
1990-08-20,240.5,13.43,-16.05433387506084,24.890296057932915,,False,False,0.0,False,False,0.0,0.0,-0.006649915683452633,-0.0,1.0,1.0,1.8271343616170785,0.0501
1990-08-21,251.5,13.43,-16.27332629144831,32.9492279058492,,False,False,0.0,False,False,0.0,0.0,0.017144811425396585,0.0,1.0,1.0,1.8271343616170785,0.0501
1990-08-22,265.0,13.43,-16.53475155644539,42.93828659693844,,False,False,0.0,False,False,0.0,0.0,0.02050881524087878,0.0,1.0,1.0,1.8271343616170785,0.0501
1990-08-23,275.25,13.43,-16.83351736509495,49.175861786774846,,False,False,0.0,False,False,0.0,0.0,0.012442199994733578,0.0,1.0,1.0,1.8271343616170785,0.0501
1990-08-24,290.5,13.43,-17.18627117792227,59.68837808050395,,False,False,0.0,False,False,0.0,0.0,0.020165513009323455,0.0,1.0,1.0,1.8271343616170785,0.0501
1990-08-25,281.0,13.43,-17.507189032923936,45.87845128783155,,False,False,0.0,False,False,0.0,0.0,-0.02675712112220671,-0.0,1.0,1.0,1.8271343616170785,0.0501
1990-08-26,281.0,13.43,-17.790879543585792,42.06848772964281,,False,False,0.0,False,False,0.0,0.0,-0.007327818122721542,-0.0,1.0,1.0,1.8271343616170785,0.0501
1990-08-27,281.0,13.43,-18.037356890280147,38.75829696353762,,False,False,0.0,False,False,0.0,0.0,-0.006326312958037524,-0.0,1.0,1.0,1.8271343616170785,0.0501
1990-08-28,281.0,13.43,-18.249320073423526,35.911631413922066,,False,False,0.0,False,False,0.0,0.0,-0.005411002636812305,-0.0,1.0,1.0,1.8271343616170785,0.0501
1990-08-29,242.5,13.43,-18.319145298729143,-3.5261213619323826,,False,False,0.0,False,False,0.0,0.0,-0.08072803285504637,-0.0,1.0,1.0,1.8271343616170785,0.0501
