Date,SB,LE,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,LE_SB_pair,sharpe,CAGR
1990-08-18,11.4,77.9,-0.14258900659203727,0.29231638648029623,,False,False,0.0,False,False,0.0,0.0,,,,,1.4166731401342785,0.0414
1990-08-19,11.4,77.9,-0.14341333553961025,0.22810116146436066,,False,False,0.0,False,False,0.0,0.0,-0.0028449190506872556,-0.0,1.0,1.0,1.4166731401342785,0.0414
1990-08-20,11.4,77.9,-0.1438182909868482,0.1965551321245247,,False,False,0.0,False,False,0.0,0.0,-0.001395629273512636,-0.0,1.0,1.0,1.4166731401342785,0.0414
1990-08-21,11.28,77.3,-0.14392919806229992,0.1542729897842161,,False,False,0.0,False,False,0.0,0.0,-0.001887113161783603,-0.0,1.0,1.0,1.4166731401342785,0.0414
1990-08-22,11.09,77.8,-0.14336210657960016,-0.06357189189289159,,False,False,0.0,False,False,0.0,0.0,-0.009793610609656877,-0.0,1.0,1.0,1.4166731401342785,0.0414
1990-08-23,11.02,78.22,-0.14261007784969235,-0.13496028940293492,,False,False,0.0,False,False,0.0,0.0,-0.0032193247058105775,-0.0,1.0,1.0,1.4166731401342785,0.0414
1990-08-24,11.31,76.72,-0.14291808615114887,0.34532443048385986,1.1134837630829408,False,False,0.0,False,False,0.0,0.0,0.021561917630983824,0.0,1.0,1.0,1.4166731401342785,0.0414
1990-08-25,11.67,76.17,-0.14401148455686277,0.7006452213037626,1.8019203438796132,False,False,0.0,False,False,0.0,0.0,0.015694828509612017,0.0,1.0,1.0,1.4166731401342785,0.0414
1990-08-26,11.67,76.17,-0.14500452411068335,0.6250053984892485,1.1427473434227857,False,False,0.0,False,False,0.0,0.0,-0.0033299511684446253,-0.0,1.0,1.0,1.4166731401342785,0.0414
1990-08-27,11.67,76.17,-0.1458259121766011,0.5624402695082935,0.7425224872139101,False,False,0.0,False,False,0.0,0.0,-0.002746788054613276,-0.0,1.0,1.0,1.4166731401342785,0.0414
1990-08-28,11.44,76.95,-0.1460335938538395,0.20271495294705133,-0.3512099464343604,False,False,0.0,False,True,0.0,0.0,-0.01586280349763433,-0.0,1.0,1.0,1.4166731401342785,0.0414
1990-08-29,11.47,76.65,-0.1462357304344442,0.2610312621998503,-0.36129886415886203,False,False,0.0,False,False,0.0,0.0,0.002571382761139412,0.0,1.0,1.0,1.4166731401342785,0.0414
1990-08-30,11.05,76.07,-0.145983670314291,-0.0549778008081141,-1.611447425767515,False,False,0.0,False,False,0.0,0.0,-0.014263569381524625,-0.0,1.0,1.0,1.4166731401342785,0.0414
1990-08-31,10.83,76.2,-0.14540925873533994,-0.2501855156329036,-1.5103303301678772,False,False,0.0,False,False,0.0,0.0,-0.008909450569713748,-0.0,1.0,1.0,1.4166731401342785,0.0414
1990-09-01,10.33,76.32,-0.14423133498133722,-0.6777354857756563,-1.6757820953008233,False,False,0.0,False,False,0.0,0.0,-0.020037270141799714,-0.0,1.0,1.0,1.4166731401342785,0.0414
1990-09-02,10.33,76.32,-0.14310706930387876,-0.591931529272026,-1.1216049878806207,False,False,0.0,False,False,0.0,0.0,0.004037466259734818,0.0,1.0,1.0,1.4166731401342785,0.0414
1990-09-03,10.33,76.32,-0.14210569149853877,-0.5155063751684779,-0.7425585884788487,False,False,0.0,False,False,0.0,0.0,0.0036091299423738126,0.0,1.0,1.0,1.4166731401342785,0.0414
1990-09-04,10.33,76.32,-0.14121942565533907,-0.4478665660154775,-0.36702578396101004,False,False,0.0,False,False,0.0,0.0,0.003204483453666664,0.0,1.0,1.0,1.4166731401342785,0.0414
1990-09-05,10.52,77.02,-0.14053840406222326,-0.3042678808724357,0.47124037173531613,False,True,0.0,False,False,0.0,0.0,0.006727740016406326,0.0,1.0,1.0,1.4166731401342785,0.0414
1990-09-06,10.77,77.27,-0.14019203920277884,-0.06263886919872164,1.6102301356967292,False,False,0.0,False,False,0.0,0.0,0.011185161828457512,0.0,1.0,1.0,1.4166731401342785,0.0414
1990-09-07,11.24,77.82,-0.14036140866693964,0.3170751775387579,1.8457941692128474,False,False,0.0,False,False,0.0,0.0,0.017132849106299114,0.0,1.0,1.0,1.4166731401342785,0.0414
1990-09-08,11.16,77.97,-0.14046341802590812,0.20806729651994438,1.1319082899818904,False,False,0.0,False,False,0.0,0.0,-0.00492982148962752,-0.0,1.0,1.0,1.4166731401342785,0.0414
1990-09-09,11.16,77.97,-0.14054794841645088,0.20147646196932456,0.8452441343256879,False,False,0.0,False,False,0.0,0.0,-0.00029797805171251644,-0.0,1.0,1.0,1.4166731401342785,0.0414
1990-09-10,11.16,77.97,-0.1406226774809845,0.1956498368076378,0.613526313074521,False,False,0.0,False,False,0.0,0.0,-0.00026335802492316075,-0.0,1.0,1.0,1.4166731401342785,0.0414
