Date,QS,HO,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,HO_QS_pair,sharpe,CAGR
1990-08-18,240.5,0.8054,-56.83937667340983,194.72156602723572,,False,False,0.0,False,False,0.0,0.0,,,,,1.646639287800213,0.0466
1990-08-19,240.5,0.8054,-78.01668566041936,177.66536136909826,,False,False,0.0,False,False,0.0,0.0,-0.056229004162269405,-0.0,1.0,1.0,1.646639287800213,0.0466
1990-08-20,240.5,0.8054,-89.39462908269925,168.50156573679402,,False,False,0.0,False,False,0.0,0.0,-0.029324292948571747,-0.0,1.0,1.0,1.646639287800213,0.0466
1990-08-21,251.5,0.8296,-96.91412816728703,171.10003927241868,,False,False,0.0,False,False,0.0,0.0,0.00782908660166264,0.0,1.0,1.0,1.646639287800213,0.0466
1990-08-22,265.0,0.8371,-102.57925558300306,179.13090515146814,,False,False,0.0,False,False,0.0,0.0,0.0228884960144932,0.0,1.0,1.0,1.646639287800213,0.0466
1990-08-23,275.25,0.9135,-107.06327402213492,177.44769918077975,,False,False,0.0,False,False,0.0,0.0,-0.00451198388802879,-0.0,1.0,1.0,1.646639287800213,0.0466
1990-08-24,290.5,0.9623,-110.83217603976144,183.84619699693758,,False,False,0.0,False,False,0.0,0.0,0.016110881396012945,0.0,1.0,1.0,1.646639287800213,0.0466
1990-08-25,281.0,0.9096,-113.97260628919733,177.33051731934611,,False,False,0.0,False,False,0.0,0.0,-0.01693838469375194,-0.0,1.0,1.0,1.646639287800213,0.0466
1990-08-26,281.0,0.9096,-116.63284684917802,174.9107625059877,,False,False,0.0,False,False,0.0,0.0,-0.006251154976624359,-0.0,1.0,1.0,1.646639287800213,0.0466
1990-08-27,281.0,0.9096,-118.9192916026949,172.83101235818873,,False,False,0.0,False,False,0.0,0.0,-0.0053440798569313296,-0.0,1.0,1.0,1.646639287800213,0.0466
1990-08-28,281.0,0.7809999999999999,-120.99584120589031,186.50224801819968,,False,False,0.0,False,False,0.0,0.0,0.036408302281057514,0.0,1.0,1.0,1.646639287800213,0.0466
1990-08-29,242.5,0.7952,-122.65559681431822,144.96426941325416,,False,False,0.0,False,False,0.0,0.0,-0.12215768776201844,-0.0,1.0,1.0,1.646639287800213,0.0466
