Date,SI,DC,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,DC_SI_pair,sharpe,CAGR
1990-08-18,5.1789999999999985,13.43,-0.3300989446264512,0.7457711736667596,,False,False,0.0,False,False,0.0,0.0,,,,,1.8158425734557542,0.0518
1990-08-19,5.1789999999999985,13.43,-0.34085549559220313,0.6013106941967106,,False,False,0.0,False,False,0.0,0.0,-0.014806301086591311,-0.0,1.0,1.0,1.8158425734557542,0.0518
1990-08-20,5.1789999999999985,13.43,-0.3457188987066115,0.5359951903702065,,False,False,0.0,False,False,0.0,0.0,-0.006649915683452607,-0.0,1.0,1.0,1.8158425734557542,0.0518
1990-08-21,5.129,13.43,-0.3483587243922395,0.45054233141222255,,False,False,0.0,False,False,0.0,0.0,-0.008713048972077664,-0.0,1.0,1.0,1.8158425734557542,0.0518
1990-08-22,5.091,13.43,-0.3498744973716383,0.39218550029889787,,False,False,0.0,False,False,0.0,0.0,-0.0059609741446180016,-0.0,1.0,1.0,1.8158425734557542,0.0518
1990-08-23,5.129,13.43,-0.35101432268431,0.4148776463497166,,False,False,0.0,False,False,0.0,0.0,0.0023053808776849565,0.0,1.0,1.0,1.8158425734557542,0.0518
1990-08-24,5.126,13.43,-0.35188897897800936,0.40013101232533455,,False,False,0.0,False,False,0.0,0.0,-0.001496836188425875,-0.0,1.0,1.0,1.8158425734557542,0.0518
1990-08-25,5.187,13.43,-0.35279174991738893,0.44900679860946724,,False,False,0.0,False,False,0.0,0.0,0.004924515845238563,0.0,1.0,1.0,1.8158425734557542,0.0518
1990-08-26,5.187,13.43,-0.3536517185311824,0.43745742012622113,,False,False,0.0,False,False,0.0,0.0,-0.0011623135905077372,-0.0,1.0,1.0,1.8158425734557542,0.0518
1990-08-27,5.187,13.43,-0.35443718735658164,0.4269085738011089,,False,False,0.0,False,False,0.0,0.0,-0.001060495563288823,-0.0,1.0,1.0,1.8158425734557542,0.0518
1990-08-28,4.848,13.43,-0.35411820659856236,0.09219248538130742,,False,False,0.0,False,False,0.0,0.0,-0.03485243617287252,-0.0,1.0,1.0,1.8158425734557542,0.0518
1990-08-29,4.84,13.43,-0.3531640619870918,0.09700664751335708,,False,False,0.0,False,False,0.0,0.0,0.0005023651749482282,0.0,1.0,1.0,1.8158425734557542,0.0518
1990-08-30,4.8260000000000005,13.43,-0.3518517553221147,0.10063092602400037,,False,False,0.0,False,False,0.0,0.0,0.00037945120564109746,0.0,1.0,1.0,1.8158425734557542,0.0518
1990-08-31,4.807,13.43,-0.35034037134510015,0.10192881283530575,,False,False,0.0,False,False,0.0,0.0,0.0001364462886964841,0.0,1.0,1.0,1.8158425734557542,0.0518
1990-09-01,4.759,13.09,-0.34897160354586626,0.19096170958461123,,False,False,0.0,False,False,0.0,0.0,0.009545677199674099,0.0,1.0,1.0,1.8158425734557542,0.0518
1990-09-02,4.759,13.09,-0.34774053353452283,0.20707641603309668,,False,False,0.0,False,False,0.0,0.0,0.001730731253796823,0.0,1.0,1.0,1.8158425734557542,0.0518
1990-09-03,4.759,13.09,-0.34663816298360756,0.22150644654457707,,False,False,0.0,False,False,0.0,0.0,0.0015522014218056315,0.0,1.0,1.0,1.8158425734557542,0.0518
1990-09-04,4.759,13.09,-0.34565347422408327,0.2343960224067505,,False,False,0.0,False,False,0.0,0.0,0.0013884237084308521,0.0,1.0,1.0,1.8158425734557542,0.0518
1990-09-05,4.7189999999999985,13.09,-0.3446729210092594,0.20723146398879333,,False,False,0.0,False,False,0.0,0.0,-0.0029428273834385963,-0.0,1.0,1.0,1.8158425734557542,0.0518
1990-09-06,4.735,13.09,-0.34377063194125834,0.2350424278889287,,False,False,0.0,False,False,0.0,0.0,0.003011487999048588,0.0,1.0,1.0,1.8158425734557542,0.0518
1990-09-07,4.77,13.09,-0.3430349089031285,0.2796730424580476,,False,False,0.0,False,False,0.0,0.0,0.004819550624264952,0.0,1.0,1.0,1.8158425734557542,0.0518
1990-09-08,4.8,13.09,-0.3424992620898972,0.3166846592432453,,False,False,0.0,False,False,0.0,0.0,0.00398689642941512,0.0,1.0,1.0,1.8158425734557542,0.0518
1990-09-09,4.8,13.09,-0.3421015454158167,0.32189077050695936,,False,False,0.0,False,False,0.0,0.0,0.0005611176948817327,0.0,1.0,1.0,1.8158425734557542,0.0518
1990-09-10,4.8,13.09,-0.34179981365380496,0.32584043927169315,,False,False,0.0,False,False,0.0,0.0,0.00042587888841796276,0.0,1.0,1.0,1.8158425734557542,0.0518
1990-09-11,4.755,13.09,-0.34145425100074306,0.28536385440027345,,False,False,0.0,False,False,0.0,0.0,-0.0043878787447597664,-0.0,1.0,1.0,1.8158425734557542,0.0518
1990-09-12,4.777,13.09,-0.34114836563608686,0.31136789382362284,,False,False,0.0,False,False,0.0,0.0,0.002813488530607231,0.0,1.0,1.0,1.8158425734557542,0.0518
1990-09-13,4.801,13.09,-0.3409355768217206,0.338153299403678,,False,False,0.0,False,False,0.0,0.0,0.0028913912811543993,0.0,1.0,1.0,1.8158425734557542,0.0518
1990-09-14,4.773,13.09,-0.3407166539616009,0.3130189996426438,,False,False,0.0,False,False,0.0,0.0,-0.0027222302049642907,-0.0,1.0,1.0,1.8158425734557542,0.0518
1990-09-15,4.75,13.09,-0.3404447237073207,0.2935785666711723,,False,False,0.0,False,False,0.0,0.0,-0.0021116166701964953,-0.0,1.0,1.0,1.8158425734557542,0.0518
1990-09-16,4.75,13.09,-0.34014995726922415,0.29743705934585574,,False,False,0.0,False,False,0.0,0.0,0.0004192845731744747,0.0,1.0,1.0,1.8158425734557542,0.0518
