Date,HG,LE,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,LE_HG_pair,sharpe,CAGR
1990-08-18,1.339,77.9,-0.016747954370766482,0.034334354517290944,,False,False,0.0,False,False,0.0,0.0,,,,,1.3417122057418218,0.0327
1990-08-19,1.339,77.9,-0.016844776867327906,0.026791882035156034,,False,False,0.0,False,False,0.0,0.0,-0.0028449190506872634,-0.0,1.0,1.0,1.3417122057418218,0.0327
1990-08-20,1.339,77.9,-0.016892341371174534,0.023086607185503594,,False,False,0.0,False,False,0.0,0.0,-0.001395629273512552,-0.0,1.0,1.0,1.3417122057418218,0.0327
1990-08-21,1.3230000000000002,77.3,-0.016900041311484114,0.016626806622278112,,False,False,0.0,False,False,0.0,0.0,-0.0024567834567930428,-0.0,1.0,1.0,1.3417122057418218,0.0327
1990-08-22,1.321,77.8,-0.016876431503264535,0.0080136290460191,,False,False,0.0,False,False,0.0,0.0,-0.0032700159997940616,-0.0,1.0,1.0,1.3417122057418218,0.0327
1990-08-23,1.2919999999999998,78.22,-0.016783119368605354,-0.02077559701231091,,False,False,0.0,False,False,0.0,0.0,-0.01105247841363048,-0.0,1.0,1.0,1.3417122057418218,0.0327
1990-08-24,1.295,76.72,-0.01675406982514697,0.009627763014724344,-0.24138100747303712,False,False,0.0,False,False,0.0,0.0,0.011782548111181195,0.0,1.0,1.0,1.3417122057418218,0.0327
1990-08-25,1.2919999999999998,76.17,-0.016748757107422324,0.01624717112764129,0.31089201694930063,False,True,0.0,False,False,0.0,0.0,0.002577899258249048,0.0,1.0,1.0,1.3417122057418218,0.0327
1990-08-26,1.2919999999999998,76.17,-0.016747245900566993,0.01636227975381188,0.4495764904958419,False,False,0.0,False,False,0.0,0.0,4.483055583073204e-05,0.0,1.0,1.0,1.3417122057418218,0.0327
1990-08-27,1.2919999999999998,76.17,-0.01674643710381606,0.01642388580233045,0.5513088357977215,False,False,0.0,False,False,0.0,0.0,2.3993854818134922e-05,0.0,1.0,1.0,1.3417122057418218,0.0327
1990-08-28,1.305,76.95,-0.016745747201602927,0.016414752836654722,0.5536723899117405,False,False,0.0,False,False,0.0,0.0,-3.521367067351173e-06,-0.0,1.0,1.0,1.3417122057418218,0.0327
