Date,PA,LE,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,LE_PA_pair,sharpe,CAGR
1990-08-18,117.15,77.9,-1.46528965984712,3.003935497909353,,False,False,0.0,False,False,0.0,0.0,,,,,1.035709530924761,0.0321
1990-08-19,117.15,77.9,-1.4737607244267843,2.3440395671535015,,False,False,0.0,False,False,0.0,0.0,-0.002844919050687201,-0.0,1.0,1.0,1.035709530924761,0.0321
1990-08-20,117.15,77.9,-1.477922174483269,2.0198626077533532,,False,False,0.0,False,False,0.0,0.0,-0.0013956292735126004,-0.0,1.0,1.0,1.035709530924761,0.0321
1990-08-21,116.05,77.3,-1.4794341763895271,1.689738165089551,,False,False,0.0,False,False,0.0,0.0,-0.0014327679680358038,-0.0,1.0,1.0,1.035709530924761,0.0321
1990-08-22,116.5,77.8,-1.4794781017465242,1.3966036841204215,,False,False,0.0,False,False,0.0,0.0,-0.0012656743624317535,-0.0,1.0,1.0,1.035709530924761,0.0321
1990-08-23,115.95,78.22,-1.476983550022996,0.42034671720125516,,False,False,0.0,False,False,0.0,0.0,-0.0042174634058505045,-0.0,1.0,1.0,1.035709530924761,0.0321
1990-08-24,115.6,76.72,-1.4781256348543301,2.198201293975785,0.40504827157282186,False,False,0.0,False,False,0.0,0.0,0.007763496124573283,0.0,1.0,1.0,1.035709530924761,0.0321
1990-08-25,114.25,76.17,-1.4785889146647622,1.6258823699850637,-0.06945850672138416,False,False,0.0,False,True,0.0,0.0,-0.0025226276578805516,-0.0,1.0,1.0,1.035709530924761,0.0321
1990-08-26,114.25,76.17,-1.4788880060765597,1.603100577148453,0.06685636976565495,False,True,0.0,False,False,0.0,0.0,-0.00010040592398820729,-0.0,1.0,1.0,1.035709530924761,0.0321
1990-08-27,114.25,76.17,-1.4791192002598739,1.585490516205411,0.15390034052686138,False,False,0.0,False,False,0.0,0.0,-7.760658841562408e-05,-0.0,1.0,1.0,1.035709530924761,0.0321
1990-08-28,110.4,76.95,-1.4724393779564129,-2.904210133745977,-2.159170187936155,True,False,1.0,False,True,0.0,1.0,-0.020069808463895836,-0.0,1.0,1.0,1.035709530924761,0.0321
1990-08-29,109.3,76.65,-1.4649665202508402,-2.989683777226915,-1.4408873359216494,False,False,1.0,False,False,0.0,1.0,-0.000385729344543261,-0.000385729344543261,0.9996142706554567,0.9996142706554567,1.035709530924761,0.0321
1990-08-30,109.4,76.07,-1.459554916666063,-1.6283425107874052,-0.6678945845202561,False,False,1.0,False,False,0.0,1.0,0.006175890318518763,0.006175890318518763,1.0057901609739754,1.0057901609739754,1.035709530924761,0.0321
