Date,minor,Equal weighting,Inverse Variance weighting,Mean-Variance weighting,Robust Mean-Variance weighting,Min-Variance weighting,Robust Min-Variance weighting,Hierarchical weighting (by LdP),Robust Hierarchical weighting (by LdP)
1992-11-30,ZR_ZS_pair,0.02500000037252903,0.0067571429535746574,1.9528275885249968e-08,1.9528195949192195e-08,0.011705550365149975,0.02212483063340187,0.009218047372996807,0.01711813360452652
1992-11-30,LE_HE_pair,0.02500000037252903,0.0022670896723866463,7.842334071028745e-08,7.842388782819398e-08,0.005893867462873459,0.02283867448568344,0.0027775345370173454,0.006113929208368063
1992-11-30,LE_FC_pair,0.02500000037252903,0.44941437244415283,2.7024654514207214e-08,2.702460122350203e-08,0.6633657217025757,0.16812974214553833,0.5519630908966064,0.14639751613140106
1992-11-30,LE_DC_pair,0.02500000037252903,0.020799990743398666,2.1599028343644022e-08,2.159898038200936e-08,0.000324281892972067,0.035020612180233,0.01036121230572462,0.02155202627182007
1992-11-30,LE_HO_pair,0.02500000037252903,0.01582729071378708,2.541283627977009e-08,2.541278121270807e-08,0.011414600536227226,0.01725677028298378,0.006084984168410301,0.02562899887561798
1992-11-30,LE_CL_pair,0.02500000037252903,0.026436874642968178,3.009887095117847e-08,3.0098824765900645e-08,0.008458276279270649,0.020376205444335938,0.010163960978388786,0.033208053559064865
1992-11-30,LE_QS_pair,0.02500000037252903,0.01392342895269394,2.1477024603200334e-08,2.1476962430710955e-08,0.011247128248214722,0.015383223071694374,0.008965243585407734,0.03142551705241203
1992-11-30,LE_HG_pair,0.02500000037252903,0.014342451468110085,2.9829148928683935e-08,2.982910984883347e-08,0.008426276966929436,0.019146360456943512,0.0071459426544606686,0.03087732568383217
1992-11-30,LE_PA_pair,0.02500000037252903,0.02359952963888645,2.985274250022485e-08,2.9852696314947025e-08,0.00520744314417243,0.02581978030502796,0.017926178872585297,0.034947484731674194
1992-11-30,LE_SI_pair,0.02500000037252903,0.024133946746587753,2.4696440448224166e-08,2.4696381828448466e-08,0.0038996925577521324,0.028161583468317986,0.029567807912826538,0.03883032500743866
1992-11-30,LE_PL_pair,0.02500000037252903,0.014840677380561829,1.8203110130343703e-08,1.820305683963852e-08,0.007592652924358845,0.014631868340075016,0.010623550042510033,0.03175617381930351
1992-11-30,LE_SB_pair,0.02500000037252903,0.014515702612698078,9.62210222610338e-09,9.622204366621645e-09,0.008126601576805115,0.034531157463788986,0.01863623596727848,0.03097054362297058
1992-11-30,LE_KC_pair,0.02500000037252903,0.006308284588158131,2.8910379867852498e-08,2.891031947171996e-08,0.008167264983057976,0.020656485110521317,0.007567698135972023,0.017672762274742126
1992-11-30,LE_CC_pair,0.02500000037252903,0.005970154423266649,1.862743026492808e-08,1.862736631608186e-08,0.012451979331672192,0.019277630373835564,0.00803417433053255,0.015647362917661667
1992-11-30,LE_CT_pair,0.02500000037252903,0.008254321292042732,1.7878154068284857e-08,1.7878109659363872e-08,0.006959926802664995,0.018664175644516945,0.006269974634051323,0.009972700849175453
1992-11-30,DC_HO_pair,0.02500000037252903,0.012670663185417652,2.094891371484664e-08,2.094884976600042e-08,0.011802833527326584,0.02156863361597061,0.011776609346270561,0.028371337801218033
1992-11-30,DC_NG_pair,0.02500000037252903,0.0009227567352354527,0.9999991655349731,0.9999991655349731,0.008261950686573982,0.007612544111907482,0.0012417749967426062,0.0020735214930027723
1992-11-30,DC_CL_pair,0.02500000037252903,0.01659189537167549,1.752080436290271e-08,1.7520733308629133e-08,0.012367109768092632,0.024680770933628082,0.014568355865776539,0.030320843681693077
1992-11-30,DC_QS_pair,0.02500000037252903,0.031593337655067444,2.839688306721655e-08,2.8396829776511368e-08,0.005729576572775841,0.02907051146030426,0.02936408296227455,0.05407856032252312
1992-11-30,DC_GC_pair,0.02500000037252903,0.08748053014278412,2.2115415276857675e-08,2.2115354880725135e-08,0.011542770080268383,0.06912337988615036,0.065444715321064,0.06853185594081879
1992-11-30,DC_HG_pair,0.02500000037252903,0.009899849072098732,2.0132349121126936e-08,2.0132288724994396e-08,0.008842346258461475,0.03341582044959068,0.011703570373356342,0.021581927314400673
1992-11-30,DC_PA_pair,0.02500000037252903,0.008428975939750671,7.223138531742279e-09,7.223157183489093e-09,0.011196362785995007,0.01778678596019745,0.009644498117268085,0.01695818454027176
1992-11-30,DC_SI_pair,0.02500000037252903,0.01724671944975853,1.2342622035532713e-08,1.234257407389805e-08,0.01099203247576952,0.03526408597826958,0.012345890514552593,0.030009249225258827
1992-11-30,DC_PL_pair,0.02500000037252903,0.06055331975221634,2.4021419520181553e-08,2.4021362676762692e-08,0.010202991776168346,0.054453056305646896,0.045300308614969254,0.05742699280381203
1992-11-30,DC_SB_pair,0.02500000037252903,0.0037749498151242733,1.2445796393478759e-08,1.2445946495631688e-08,0.00840198528021574,0.008098664693534374,0.0032109590247273445,0.008990214206278324
1992-11-30,DC_KC_pair,0.02500000037252903,0.0037340298295021057,9.05055408395583e-09,9.050618032802049e-09,0.010260284878313541,0.016561759635806084,0.0033485533203929663,0.005832262337207794
1992-11-30,DC_CC_pair,0.02500000037252903,0.011895454488694668,1.9437477405404024e-08,1.9437422338342003e-08,0.009664833545684814,0.012703729793429375,0.010444690473377705,0.024213744327425957
1992-11-30,DC_CT_pair,0.02500000037252903,0.006385683547705412,7.318103012465826e-09,7.318141648227083e-09,0.009943469427525997,0.009613687172532082,0.005515948869287968,0.010243332013487816
