Date,value
1991-02-28,60.84480531871351
1991-03-31,60.749691708729955
1991-04-30,60.97405349510959
1991-05-31,62.32740406757078
1991-06-30,64.85991013208071
1991-07-31,62.0220943379009
1991-08-31,62.372856792443606
1991-09-30,61.88359688342107
1991-10-31,61.574819197583246
1991-11-30,64.166516034693
1991-12-31,67.94400343132806
1992-01-31,66.85133654938497
1992-02-29,67.15949309182314
1992-03-31,66.89372403915365
1992-04-30,66.59057071777785
1992-05-31,64.30441536972674
1992-06-30,64.3786100265275
1992-07-31,65.0
1992-08-31,66.25517438316187
1992-09-30,65.36840087306048
1992-10-31,68.14273453271902
1992-11-30,69.11812415230625
1992-12-31,69.5876922253287
1993-01-31,69.9936476402478
1993-02-28,69.41780923839187
1993-03-31,67.8207627719845
1993-04-30,67.49181856103937
1993-05-31,69.2022860961053
1993-06-30,69.89014865441322
1993-07-31,68.85541058413496
1993-08-31,70.53813412045629
1993-09-30,72.83256782228301
1993-10-31,74.10500133598156
1993-11-30,75.43079181782767
1993-12-31,74.54118020363236
1994-01-31,72.02058240375736
1994-02-28,72.95066998188176
1994-03-31,73.19968371519174
1994-04-30,71.85957132619265
1994-05-31,68.16006822997247
1994-06-30,66.29042167999717
1994-07-31,65.63584637014209
1994-08-31,68.2855710075095
1994-09-30,68.58042770442873
1994-10-31,68.46402185347178
1994-11-30,69.09301698521911
1994-12-31,67.42276470123522
1995-01-31,68.38486429886328
1995-02-28,69.02755157690767
1995-03-31,67.58186029430514
1995-04-30,66.49451341560129
1995-05-31,67.59662075923744
1995-06-30,68.91126099470132
1995-07-31,67.88533306115276
1995-08-31,67.03327856800637
1995-09-30,66.77106278192836
1995-10-31,66.59070022433018
1995-11-30,65.85430933574325
1995-12-31,62.1701878622462
1996-01-31,62.13637277639691
1996-02-29,60.86924540976347
1996-03-31,57.62201856399478
1996-04-30,54.25860453765767
1996-05-31,55.11038186646535
1996-06-30,55.6796095143928
1996-07-31,57.38846226762574
1996-08-31,54.053096334068236
1996-09-30,54.10733728837968
1996-10-31,55.747357916559565
1996-11-30,51.81263575657386
1996-12-31,51.26591262115021
1997-01-31,51.200569485738676
1997-02-28,50.906221832636284
1997-03-31,49.66480006516438
1997-04-30,49.56998816885112
1997-05-31,48.84914411215733
1997-06-30,54.066930036818476
1997-07-31,52.03278936584979
1997-08-31,52.51721800139834
1997-09-30,52.19319072810987
1997-10-31,52.273498688665946
1997-11-30,56.089729618454776
1997-12-31,59.79648389469109
1998-01-31,60.063248653820956
1998-02-28,63.98271428573675
1998-03-31,64.30078483082264
1998-04-30,65.81907101300258
1998-05-31,70.31459284433417
1998-06-30,72.61768654407264
1998-07-31,78.00827713900765
1998-08-31,83.85513720131503
1998-09-30,78.20598469326427
1998-10-31,81.13958456135143
1998-11-30,87.51303130366487
1998-12-31,90.78358449258909
1999-01-31,91.52443260692779
1999-02-28,94.80916390804812
1999-03-31,87.91679228507688
1999-04-30,85.15260549649722
1999-05-31,90.67430557654352
1999-06-30,86.77158672664008
1999-07-31,85.844140886326
1999-08-31,81.76134479499841
1999-09-30,78.19576302099257
1999-10-31,81.82578880270225
1999-11-30,80.5435194416196
1999-12-31,78.6790859636427
2000-01-31,75.03294351015444
2000-02-29,74.06217795886614
2000-03-31,73.89247397399096
2000-04-30,75.33567059536225
2000-05-31,70.69255626179803
2000-06-30,69.3362464965013
2000-07-31,74.00066028542444
2000-08-31,67.06742124289124
2000-09-30,68.03471483300315
2000-10-31,70.64457821966619
2000-11-30,64.93003425623897
2000-12-31,63.00882124119172
2001-01-31,65.36234956807577
2001-02-28,66.24587359031182
2001-03-31,70.09640287072506
2001-04-30,67.8043106354077
2001-05-31,69.84977960120037
2001-06-30,73.5189976057558
2001-07-31,72.88136483172066
2001-08-31,73.25290610760081
2001-09-30,79.26909570290155
2001-10-31,83.37869001280778
2001-11-30,83.17147579323048
2001-12-31,84.87894859449969
2002-01-31,85.82852700718816
2002-02-28,83.88136689158733
2002-03-31,76.42172365526888
2002-04-30,76.61589218629788
2002-05-31,78.15576873391178
2002-06-30,76.87469738116557
2002-07-31,77.51471593091367
2002-08-31,74.74054299905404
2002-09-30,71.92457911884271
2002-10-31,73.16054577970846
2002-11-30,72.98223430014252
2002-12-31,69.53378345895474
2003-01-31,63.66365658287615
2003-02-28,61.2946633484469
2003-03-31,67.78460401697146
2003-04-30,68.5210029075757
2003-05-31,64.17807559039244
2003-06-30,66.33214542105756
2003-07-31,66.14387709126171
2003-08-31,63.126013339249646
2003-09-30,63.405404176541104
2003-10-31,59.732944315333604
2003-11-30,60.28652678710965
2003-12-31,54.70459012223072
2004-01-31,53.514464499166635
2004-02-29,48.634231856168626
2004-03-31,46.40606332915728
2004-04-30,48.0481553867131
2004-05-31,46.869028827163675
2004-06-30,50.55268751814596
2004-07-31,49.2938498459653
2004-08-31,51.11929484183559
2004-09-30,45.932372283258545
2004-10-31,44.941552870640024
2004-11-30,46.11054861459499
2004-12-31,50.52193696641119
2005-01-31,49.92298159565474
2005-02-28,44.81077526847329
2005-03-31,42.271073572145475
2005-04-30,47.42815036678763
2005-05-31,48.426685644709416
2005-06-30,47.354045485704155
2005-07-31,44.27501442756553
2005-08-31,38.689566373095374
2005-09-30,35.56771129561825
2005-10-31,41.02218999486043
2005-11-30,41.374028780726874
2005-12-31,39.12822385267271
2006-01-31,38.17375448688233
2006-02-28,43.75199220734982
2006-03-31,42.42386378524149
2006-04-30,37.64869195938275
2006-05-31,37.26951844514525
2006-06-30,39.10921863765408
2006-07-31,36.92761141322535
