Date,value
1980-02-29,38.78694051914629
1980-03-31,43.72040912283041
1980-04-30,41.90427373689098
1980-05-31,41.649557493663096
1980-06-30,39.53834378864109
1980-07-31,37.01227362536999
1980-08-31,39.912778023063865
1980-09-30,40.99467642609478
1980-10-31,39.9725734670206
1980-11-30,42.32512270654441
1980-12-31,41.20894834308135
1981-01-31,45.332442326560596
1981-02-28,43.80731958507183
1981-03-31,44.595253416157256
1981-04-30,40.65175316991237
1981-05-31,41.895917974004455
1981-06-30,43.72926659477775
1981-07-31,43.142445908213276
1981-08-31,43.683137674692844
1981-09-30,44.55937014850524
1981-10-31,46.33075337281084
1981-11-30,47.15274572846459
1981-12-31,54.08854720598464
1982-01-31,47.70716439044915
1982-02-28,46.80472307455043
1982-03-31,43.67325368119981
1982-04-30,43.393429952353664
1982-05-31,40.875397991825594
1982-06-30,48.267921362659685
1982-07-31,48.178704571692606
1982-08-31,49.86521487767265
1982-09-30,53.14399346589133
1982-10-31,51.94922614534161
1982-11-30,51.283470452406654
1982-12-31,53.30094909546713
1983-01-31,52.12244877691107
1983-02-28,48.863495309416976
1983-03-31,44.749709653527255
1983-04-30,48.12408500498408
1983-05-31,48.321854924123876
1983-06-30,52.012986672056826
1983-07-31,51.24414622243897
1983-08-31,56.83171160879983
1983-09-30,53.108100423116845
1983-10-31,54.36860681257664
1983-11-30,51.46941069512301
1983-12-31,48.46163192412224
1984-01-31,48.27328427663572
1984-02-29,47.106320370004504
1984-03-31,46.610606420631434
1984-04-30,50.446053675473685
1984-05-31,51.776853675441664
1984-06-30,51.89331212654342
1984-07-31,52.40328521494892
1984-08-31,53.11791501875992
1984-09-30,55.24303455713701
1984-10-31,53.24435385918338
1984-11-30,50.77872531838569
1984-12-31,51.66948033246706
1985-01-31,52.41259279047295
1985-02-28,53.278493898173
1985-03-31,53.430949304223255
1985-04-30,55.450499067805836
1985-05-31,57.58312677267566
1985-06-30,59.23671687369041
1985-07-31,63.89594393278787
1985-08-31,61.52771654104606
1985-09-30,59.60581482341298
1985-10-31,54.03388936624317
1985-11-30,52.289899784894175
1985-12-31,58.21705789843393
1986-01-31,60.77310808426097
1986-02-28,58.47279603865257
1986-03-31,62.23248193238668
1986-04-30,62.2314218183835
1986-05-31,64.97013345848512
1986-06-30,63.03725342282616
1986-07-31,62.18597208876068
1986-08-31,59.38569412677706
1986-09-30,60.86966111890279
1986-10-31,61.50632416953638
1986-11-30,59.571146241619324
1986-12-31,65.23816852798068
1987-01-31,58.870289218634845
1987-02-28,58.15595616159117
1987-03-31,56.44714616315637
1987-04-30,56.936159825086904
1987-05-31,56.71258723299013
1987-06-30,60.15306293528459
1987-07-31,60.475444289380576
1987-08-31,58.52740565341531
1987-09-30,57.59700748954202
1987-10-31,61.632234491332426
1987-11-30,59.94125603111386
1987-12-31,61.47151807711617
1988-01-31,58.340460341534836
1988-02-29,55.945521304358635
1988-03-31,53.89324782091045
1988-04-30,56.74013995706584
1988-05-31,56.08305819241282
1988-06-30,61.5500643326487
1988-07-31,60.1327912477494
1988-08-31,56.951624104618304
1988-09-30,57.13839033137194
1988-10-31,55.792252945467936
1988-11-30,57.152617800159824
1988-12-31,56.3314930960618
1989-01-31,55.99997087804168
1989-02-28,54.17522239496767
1989-03-31,54.3143760112187
1989-04-30,58.76859934093577
1989-05-31,60.65587110815155
1989-06-30,60.03520950991435
1989-07-31,58.56690553725045
1989-08-31,58.05556659636825
1989-09-30,59.40809093467951
1989-10-31,58.01092944250467
1989-11-30,57.82635058205645
1989-12-31,56.58257018755879
1990-01-31,55.53250238288174
1990-02-28,58.17066531341495
1990-03-31,56.83060467462264
1990-04-30,60.14230546581619
1990-05-31,59.6588262168331
1990-06-30,60.47332754538822
1990-07-31,57.35888940942381
1990-08-31,58.803295000324574
1990-09-30,57.32232312210844
1990-10-31,58.497420797616726
1990-11-30,58.0270308346144
1990-12-31,59.04364550599725
1991-01-31,58.39649315512053
1991-02-28,57.62056905958511
1991-03-31,57.13122478147739
1991-04-30,60.51623389162591
1991-05-31,60.975502618721734
1991-06-30,63.39878206002943
1991-07-31,64.84132976382102
1991-08-31,65.25979964938631
1991-09-30,62.29733286429175
1991-10-31,63.366911853201096
1991-11-30,63.58745339600672
1991-12-31,64.49084039474548
1992-01-31,61.99642847583718
1992-02-29,61.7116662594339
1992-03-31,60.83789772649653
1992-04-30,64.81498034444708
1992-05-31,65.84791019373341
1992-06-30,65.65129961805167
1992-07-31,65.0
1992-08-31,65.18559780003207
1992-09-30,64.45932887875328
1992-10-31,65.56593178380041
1992-11-30,63.94412087589904
1992-12-31,63.84552495055119
1993-01-31,63.89764384493339
1993-02-28,62.37393524860384
1993-03-31,61.69355249156106
1993-04-30,64.85224911022333
1993-05-31,66.05109678701915
1993-06-30,66.3274292251717
1993-07-31,66.11787497369097
1993-08-31,66.66349660836205
1993-09-30,68.20622177611165
1993-10-31,67.76789436507356
1993-11-30,69.6934050056267
1993-12-31,68.5560972840057
1994-01-31,68.94041695977046
1994-02-28,66.65436506788396
1994-03-31,67.22822052940536
1994-04-30,70.77089685653763
1994-05-31,74.53673206404066
1994-06-30,76.1969142721002
1994-07-31,73.12200739941383
1994-08-31,71.87823849863112
1994-09-30,73.76088839817594
1994-10-31,72.85028911113415
1994-11-30,74.91758213383615
1994-12-31,71.47089111456114
1995-01-31,70.66555930531976
1995-02-28,70.83406314488086
1995-03-31,75.77081820969605
1995-04-30,79.09385634985388
1995-05-31,80.86941315571198
1995-06-30,79.60855294837971
1995-07-31,79.14582472044795
