Date,value
1990-09-30,66.9650696396758
1990-10-31,65.6018776357968
1990-11-30,65.37034493686119
1990-12-31,64.85192663943727
1991-01-31,62.702804416506694
1991-02-28,61.47935274009462
1991-03-31,61.41117812863727
1991-04-30,61.932000093565016
1991-05-31,62.13995289644376
1991-06-30,62.18549278221384
1991-07-31,63.107265021894825
1991-08-31,63.82764810938034
1991-09-30,64.17389838116323
1991-10-31,64.86640414675027
1991-11-30,64.06077853780609
1991-12-31,62.38361288170635
1992-01-31,63.054047191780555
1992-02-29,62.70422223283235
1992-03-31,63.11054089514902
1992-04-30,64.04764158947027
1992-05-31,64.62307047245459
1992-06-30,65.00399694084848
1992-07-31,65.0
1992-08-31,65.00328305347132
1992-09-30,65.63699572396739
1992-10-31,65.42190056625019
1992-11-30,65.19201662851368
1992-12-31,65.14366182262557
1993-01-31,65.1685523108848
1993-02-28,65.5581605296034
1993-03-31,65.65795257701544
1993-04-30,65.97125593572163
1993-05-31,65.88112001062548
1993-06-30,65.66094447496653
1993-07-31,65.49682361592501
1993-08-31,65.93330867616666
1993-09-30,66.67191728105674
1993-10-31,65.95397264724306
1993-11-30,65.66263029953517
1993-12-31,64.88429589507341
1994-01-31,65.53592570063012
1994-02-28,65.52295520137208
1994-03-31,65.3404143836795
1994-04-30,66.19093761100841
1994-05-31,66.67349628187159
1994-06-30,67.18794637722797
1994-07-31,67.74302553527421
1994-08-31,67.31904623424155
1994-09-30,67.57379012938539
1994-10-31,67.47826526489158
1994-11-30,67.55326452439866
1994-12-31,67.76894692006863
1995-01-31,67.61542606071446
1995-02-28,67.83127995625215
1995-03-31,68.32667487102371
1995-04-30,68.81685294709817
1995-05-31,68.64971905950152
1995-06-30,68.42936063901134
1995-07-31,68.72424715306677
1995-08-31,69.34798651917579
1995-09-30,69.21201356235396
1995-10-31,69.39633587839899
1995-11-30,69.88618299494253
1995-12-31,70.99865470672984
1996-01-31,69.97383873076144
1996-02-29,70.83258609852165
1996-03-31,71.60865043206087
1996-04-30,71.48123430262466
1996-05-31,71.12906706092026
1996-06-30,71.54412912521524
1996-07-31,72.15467409947671
1996-08-31,73.23549502079835
1996-09-30,74.65620551679326
1996-10-31,74.37970131461657
1996-11-30,74.73374990750415
1996-12-31,75.10314998088899
1997-01-31,74.58074182189335
1997-02-28,72.81399562802865
1997-03-31,73.22006337880143
1997-04-30,73.44117137790505
1997-05-31,73.74698996838585
1997-06-30,73.47976816608049
1997-07-31,73.86348232115692
1997-08-31,73.77555976753061
1997-09-30,74.76791000114532
1997-10-31,75.00545369588504
1997-11-30,74.47245563863684
1997-12-31,73.53228095452288
1998-01-31,73.418880858019
1998-02-28,72.73980994255173
1998-03-31,72.96594564452323
1998-04-30,73.07416960885337
1998-05-31,72.48902623167258
1998-06-30,72.56532721970115
1998-07-31,72.08748113545914
1998-08-31,71.75662834068423
1998-09-30,73.68318107809453
1998-10-31,72.81997987232222
1998-11-30,71.32714736984332
1998-12-31,71.52930327287312
1999-01-31,71.97809038259739
1999-02-28,72.04572892526645
1999-03-31,74.726210197777
1999-04-30,75.22377602993242
1999-05-31,74.48753916888644
1999-06-30,76.10287073817278
1999-07-31,77.35699103269974
1999-08-31,78.40674361248581
1999-09-30,79.20496937391343
1999-10-31,78.73575736318541
1999-11-30,80.0142274046651
1999-12-31,80.60909475201268
2000-01-31,81.25045522847576
2000-02-29,81.8434271507124
2000-03-31,80.89126044198012
2000-04-30,81.06898202256325
2000-05-31,82.04194232736573
2000-06-30,83.27287125865266
2000-07-31,82.72230653150221
2000-08-31,85.1797587223257
2000-09-30,84.61738362669816
2000-10-31,84.6796641287935
2000-11-30,85.57377084532659
2000-12-31,83.82351216618427
2001-01-31,83.09243688871746
2001-02-28,83.30257200630408
2001-03-31,83.02237786055831
2001-04-30,84.0570019873102
2001-05-31,84.16305529946888
2001-06-30,84.08488394942945
2001-07-31,83.90942413587112
2001-08-31,84.64828159772301
2001-09-30,83.75552625758912
2001-10-31,82.75050494924903
2001-11-30,81.89084857028904
2001-12-31,82.36177762563356
2002-01-31,82.04441659377873
2002-02-28,82.86155093828901
2002-03-31,84.65353618174292
2002-04-30,85.1645872536816
2002-05-31,84.6185073535104
2002-06-30,85.31584092593631
2002-07-31,85.69388005846531
2002-08-31,86.64018723043017
2002-09-30,87.3118928211556
2002-10-31,86.5642027957086
2002-11-30,86.38044482226356
2002-12-31,87.31340931022571
2003-01-31,88.54007554726243
2003-02-28,89.82142291002856
2003-03-31,87.9568245064876
2003-04-30,86.95250040579066
2003-05-31,87.77937697565724
2003-06-30,88.47511472015029
2003-07-31,88.8487531753667
2003-08-31,89.4049333440063
2003-09-30,88.89687011688851
2003-10-31,89.28695499961479
2003-11-30,89.29587343897384
2003-12-31,90.05234521482274
2004-01-31,90.20934095626693
2004-02-29,91.10448536679793
2004-03-31,91.24889891894824
2004-04-30,92.15893321631216
2004-05-31,92.66818754179018
2004-06-30,93.03693312731166
2004-07-31,94.50532817314765
2004-08-31,94.27738422845665
2004-09-30,96.31243553696378
2004-10-31,96.70143129198158
2004-11-30,96.20015783699937
2004-12-31,95.16037407622555
2005-01-31,96.15609524732112
2005-02-28,97.41267550973589
2005-03-31,98.80185943054676
2005-04-30,98.09083622372262
2005-05-31,98.09648318279652
2005-06-30,99.58756518071543
2005-07-31,99.88002967373588
2005-08-31,101.69394713984131
2005-09-30,101.74735403912625
2005-10-31,100.79007654601445
2005-11-30,100.35832054427209
2005-12-31,100.76052626566852
2006-01-31,101.7852713242699
2006-02-28,101.2182026049049
